n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
0.102864,0.063918,0.079712,0.089638,0.095687,0.0671908,0.0707968
-0.012644,0.059366,0.041423,0.042340666666666665,0.0570555,0.0597764,0.0707968
0.041736,0.049756,0.050574,0.033478666666666664,0.0684745,0.0817704,0.0707968
0.083852,0.076268,0.077984,0.04563266666666667,0.044712,0.0692976,0.0707968
0.070428,0.059896,0.051312,0.08986866666666667,0.06172,0.0626296,0.0707968
0.102052,0.06698,0.052572,0.06493533333333333,0.0830555,0.0613392,0.0707968
0.034788,0.06898,0.074943,0.06652533333333334,0.066042,0.0769364,0.0707968
0.103328,0.074812,0.043219,0.07091066666666666,0.0745905,0.0654444,0.0707968
0.063564,0.034596,0.049167,0.06333333333333334,0.0652465,0.0672944,0.0707968
0.066532,0.110902,0.086364,0.07978466666666667,0.060701,0.0708016,0.0707968
0.098572,0.03506,0.069039,0.07660266666666667,0.0426045,0.0708764,0.0707968
0.08688,0.081404,0.036481,0.07623666666666666,0.08197,0.0718012,0.0707968
0.03976,0.082134,0.09026,0.07949133333333333,0.058205,0.0853992,0.0707968
0.104748,0.03035,0.096679,0.081666,0.0823615,0.0664864,0.0707968
0.035948,0.082152,0.074301,0.06079266666666667,0.086761,0.077002,0.0707968
0.03964,0.102326,0.09338,0.050630666666666664,0.0651255,0.0817392,0.0707968
0.038776,0.050942,0.0493,0.092194,0.0510795,0.0735488,0.0707968
0.02128,0.101574,0.053338,0.066954,0.0890995,0.0762056,0.0707968
0.102612,0.050534,0.069303,0.08447133333333333,0.0604825,0.055888,0.0707968
0.093708,0.080116,0.086681,0.05543,0.075374,0.0733852,0.0707968
0.051416,0.038824,0.05198,0.06339666666666667,0.0593305,0.0802844,0.0707968
0.059404,0.108726,0.059221,0.084934,0.0673,0.0850868,0.0707968
0.084748,0.09185,0.077844,0.08326866666666667,0.063168,0.0746412,0.0707968
-0.039972,0.076794,0.073514,0.06315666666666667,0.045112,0.0811348,0.0707968
0.104236,0.102338,0.066077,0.072792,0.0913685,0.0593716,0.0707968
0.115688,0.086606,0.043391,0.07029533333333333,0.048573,0.0670588,0.0707968
0.108956,0.061756,0.071851,0.056835333333333335,0.0587465,0.0493088,0.0707968
0.095556,0.03494,0.056398,0.08092866666666666,0.0613765,0.064712,0.0707968
0.083776,0.046552,0.073869,0.06396133333333333,0.0831265,0.0565604,0.0707968
0.018244,0.089446,0.075838,0.063326,0.044843,0.0770912,0.0707968
0.134288,0.071342,0.062951,0.06693,0.065258,0.0631596,0.0707968
0.049876,0.149274,0.083049,0.06251933333333333,0.0880185,0.0486688,0.0707968
0.054336,0.066896,0.098774,0.092278,0.063793,0.0621008,0.0707968
0.160824,0.057974,0.059522,0.06453933333333334,0.085875,0.0606704,0.0707968
0.113644,0.069154,0.069543,0.061775333333333335,0.0515625,0.0880036,0.0707968
0.096428,0.031966,0.043065,0.06982666666666666,0.0548845,0.085708,0.0707968
0.052528,0.057624,0.042419,0.07672533333333334,0.069244,0.0757072,0.0707968
0.058792,0.06795,0.021386,0.064466,0.079829,0.0858448,0.0707968
0.036672,0.014992,0.064436,0.07075066666666667,0.072347,0.0751772,0.0707968
0.16462,0.097596,0.052446,0.06934533333333333,0.092196,0.0616596,0.0707968
0.036096,0.08708,0.112337,0.056517333333333336,0.0536225,0.0837892,0.0707968
0.045836,0.042072,0.057537,0.098934,0.0849785,0.0710952,0.0707968
0.09618,0.03723,0.070492,0.07931133333333333,0.0784295,0.0800784,0.0707968
0.069808,0.04011,0.063416,0.06854,0.0746895,0.059114,0.0707968
0.108948,0.07244,0.044361,0.05191266666666667,0.0713925,0.0793612,0.0707968
0.08224,0.032784,0.027412,0.07158866666666666,0.0787875,0.0612548,0.0707968
0.079436,0.064472,0.064844,0.084094,0.0749805,0.0552884,0.0707968
0.053672,0.072276,0.059168,0.05513133333333333,0.0902415,0.0759744,0.0707968
0.068096,0.027824,0.109527,0.039818,0.053455,0.0611572,0.0707968
0.017284,0.04637,0.0595,0.08889466666666666,0.0460825,0.0726248,0.0707968
0.08206,0.094368,0.054309,0.09538533333333334,0.0695165,0.0854072,0.0707968
0.081908,0.09662,0.06041,0.08755533333333333,0.0723585,0.0745276,0.0707968
0.079144,0.108636,0.07828,0.05151533333333334,0.0612545,0.086384,0.0707968
0.05678,0.089308,0.103004,0.09621066666666667,0.067057,0.0866844,0.0707968
0.075948,0.08685,0.088759,0.070736,0.085185,0.0893212,0.0707968
0.036636,0.083224,0.086945,0.056711333333333336,0.078652,0.066808,0.0707968
0.0722,0.009124,0.113449,0.04572466666666666,0.068951,0.0695068,0.0707968
0.04492,0.033378,0.084403,0.059322,0.0718955,0.0617496,0.0707968
0.023576,0.100452,0.063866,0.067444,0.077893,0.0616264,0.0707968
0.101,0.067968,0.075887,0.061603333333333336,0.0755345,0.072914,0.0707968
0.046152,0.070786,0.061288,0.060932,0.0908575,0.0769776,0.0707968
-0.005812,0.080684,0.06724,0.06748666666666667,0.0776015,0.0795384,0.0707968
0.034992,0.065894,0.08074,0.08285,0.060976,0.063018,0.0707968
0.107024,0.079412,0.075258,0.072676,0.0692735,0.0753652,0.0707968
0.053216,0.051588,0.056457,0.030289333333333335,0.0671835,0.060454,0.0707968
0.070996,0.111766,0.081127,0.07059466666666667,0.061421,0.070004,0.0707968
0.089028,0.107556,0.07884,0.08293933333333334,0.0678665,0.0607052,0.0707968
0.050576,0.091972,0.062323,0.083572,0.0789535,0.0622648,0.0707968
0.079516,0.06557,0.053456,0.08328266666666667,0.0515025,0.0661304,0.0707968
0.090116,0.115548,0.066669,0.068724,0.082269,0.081168,0.0707968
0.051808,0.088114,0.079007,0.09876,0.0735555,0.0697576,0.0707968
0.073088,0.076086,0.082108,0.067236,0.0875145,0.0760716,0.0707968
0.088352,0.070434,0.015037,0.05635066666666667,0.058772,0.04514,0.0707968
0.04206,0.108636,0.061866,0.08410533333333334,0.073675,0.0720012,0.0707968
0.085268,0.07077,0.073595,0.08055133333333334,0.065005,0.0649076,0.0707968
0.09324,0.062012,0.099263,0.08407666666666666,0.0592625,0.0737904,0.0707968
0.09766,0.05182,0.093176,0.07865466666666666,0.072657,0.0587484,0.0707968
0.070784,0.037962,0.045583,0.075174,0.0691655,0.0692004,0.0707968
0.058328,0.068166,0.082595,0.08417533333333334,0.061907,0.0758156,0.0707968
0.102148,0.045748,0.054311,0.080974,0.070264,0.092082,0.0707968
0.1745,0.055512,0.11068,0.079868,0.064732,0.0698068,0.0707968
