n units 500,n units 500 L_est,n units 1000,n units 1000 L_est,n units 2000,n units 2000 L_est,n units 3000,n units 3000 L_est,n units 4000,n units 4000 L_est,n units 5000,n units 5000 L_est,True Effect
0.16118496261608733,"(-0.1426485635134925, 3.1926479195702586, 0.7761575989770461)",0.38590308998345946,"(-0.05317135482889227, 3.2658805105713653, 0.6694397974790625)",0.3746183004922617,"(0.19272018560604656, 3.26881612342502, 0.6962379906088018)",0.45377152104763263,"(0.31163454101767785, 3.5029767567028594, 0.7429660235357033)",0.43187059284383567,"(0.21351371199172772, 3.552175335961549, 0.6492228701381735)",0.3795753140681547,"(0.3115052525249791, 3.4557711836853486, 0.6575416300748087)",0.4279034
0.33201573882129787,"(0.020076964628355332, 3.471681130572029, 0.6664436889887196)",0.329127456359746,"(0.3547481964591067, 3.547481965591067, 0.6790977548181181)",0.4293966085177126,"(0.3226256075137766, 3.226256076137766, 0.6531134510903038)",0.4454276129947692,"(0.13252360454675974, 3.4558173970518635, 0.6986928411579212)",0.4156616407337266,"(0.20812539141053918, 3.598010165803377, 0.6895592326803827)",0.3873254072385676,"(0.3463719033657812, 3.4637190346578124, 0.6562812898869489)",0.4279034
0.31107783583745685,"(0.4031993767520447, 4.031993768520447, 0.9107320523512222)",0.362703414731306,"(0.3405269797278398, 3.405269798278398, 0.5530842968400745)",0.3898204535914611,"(0.11482920415255632, 3.456361384950729, 0.7907858988986091)",0.3353421727500371,"(0.30145309740985426, 3.3549443660990876, 0.7106166571988876)",0.4714990603935106,"(0.17547447135024344, 3.3165401271334365, 0.7181325700697521)",0.4782448253228267,"(0.30445531047414737, 3.6228342435901726, 0.6103490484110929)",0.4279034
0.5975798555570583,"(0.16459842310533704, 4.133384735316676, 0.6349075196183555)",0.5237004516665896,"(0.3515769497805058, 3.5157694988050583, 0.6201489963504401)",0.45114940671124104,"(-0.2320476878750733, 3.2852375743327387, 0.6675013393091397)",0.442028818605984,"(0.3129071062861177, 3.781178258893498, 0.6147120910944642)",0.33679152566488474,"(-0.036751300279690896, 3.6361868937811663, 0.7516533537511091)",0.4059997873432429,"(0.09447331091536365, 3.686717641624877, 0.7806904960975068)",0.4279034
0.36910128858139996,"(-0.23883955302596183, 4.151800935092509, 0.929178119751872)",0.46332821528657603,"(-0.19299885736969746, 3.2595430318628926, 0.8010651403214906)",0.4335450722125339,"(0.0978741432639726, 3.5729791061182783, 0.7414663662818042)",0.441331904542825,"(-0.03974250373552924, 3.212305761908309, 0.6872594023905962)",0.4318838905394489,"(0.08416784151976349, 3.3151518759332412, 0.740134142652779)",0.42869137584396433,"(0.14882444631901312, 3.397672853062041, 0.6772028178107684)",0.4279034
0.4333938293280255,"(-0.04131811507760941, 3.6331645547635567, 0.7125118865681469)",0.4466347186628307,"(0.35092952434555524, 3.5092952444555525, 0.8796030107527686)",0.42234359343787276,"(0.3319674213487549, 3.319674214487549, 0.6913569344204488)",0.4438110727125982,"(0.016391505436332932, 3.3097248013321985, 0.745504642835845)",0.45437872411306235,"(0.14965573921250902, 3.6114943170697518, 0.7007600493048444)",0.4200820092841714,"(0.15394090554358417, 3.4528072449959266, 0.7215986928924453)",0.4279034
0.2895311545701703,"(0.047964774728267316, 3.8460212423444777, 0.6200997929483828)",0.4651663324612679,"(0.21575002892850448, 3.1226101613537165, 0.7303598733358706)",0.3983408886197662,"(0.15970015132314686, 3.552431465270936, 0.6545663022193611)",0.48309424286047364,"(0.017258397586471384, 3.6185218549609086, 0.7269512015771096)",0.39140233677943803,"(-0.10064225353488186, 3.316788368082093, 0.7242650035892052)",0.4206215085702788,"(0.16153917685825575, 3.380533167064766, 0.7070349349219998)",0.4279034
0.49129479240922114,"(0.03399849266479035, 3.317007625557297, 0.5799597451661792)",0.4415734279349648,"(0.18490104460879472, 3.3960143622411465, 0.7527752075046471)",0.3966405090850301,"(0.33906216827036667, 3.390621683703667, 0.571558436153207)",0.43675405389685595,"(0.0975076943369074, 3.364858182679471, 0.7461774261457477)",0.35541752500617096,"(0.025384526465145246, 3.5913047648734597, 0.7796789331039734)",0.43373947913534233,"(0.358905467849257, 3.5890546794925697, 0.6717640358987916)",0.4279034
0.447930875570064,"(-0.15491396317916353, 4.105372351857003, 0.8126883445032388)",0.347265857398194,"(0.26564958989272974, 2.946396855607705, 0.8330351981133403)",0.3682887819788212,"(0.35477934101884556, 3.5477934111884557, 0.7161810741279065)",0.38688406555398436,"(0.17291858503099916, 3.667144108780357, 0.6468609644271514)",0.34030715932832994,"(0.30445198223776465, 3.615331546820171, 0.7148766172115142)",0.41786736416369913,"(0.13631691932628662, 3.465667080345677, 0.6791422587134976)",0.4279034
0.2743742949629577,"(0.12069039847717762, 3.824093362812865, 0.7990292251572315)",0.3722190773709851,"(0.10972932079931672, 3.1998814804065723, 0.7574538580781721)",0.46000321935303495,"(0.04098602112858698, 3.6655785501959626, 0.716075798399049)",0.4690183997704415,"(0.08189839445174482, 3.4794925084540065, 0.7648200167563111)",0.4209474353697042,"(0.22984988660817823, 3.3347409078855272, 0.7260382882342638)",0.4018624866522694,"(0.3558593898438528, 3.5585938994385278, 0.7733658832600465)",0.4279034
