n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
0.08808,0.07581,0.057985,0.0732388888888889,0.0806275,0.0652124,0.0710508
0.1034,0.07459,0.0600475,0.07435777777777777,0.072929375,0.0594136,0.0710508
0.07148,0.04334,0.070585,0.06956,0.08392125,0.0748828,0.0710508
0.0828,0.05713,0.06457,0.07991555555555556,0.05628875,0.0759164,0.0710508
0.10848,0.04921,0.0780275,0.05727,0.08043375,0.0751184,0.0710508
0.148,0.08457,0.0739175,0.06173666666666667,0.07672,0.075342,0.0710508
0.05476,0.05803,0.0805275,0.07107333333333334,0.06043,0.0747468,0.0710508
0.0628,0.07794,0.0543675,0.07185222222222222,0.06783875,0.0654288,0.0710508
0.08364,0.06325,0.073995,0.08147777777777777,0.058426875,0.0687284,0.0710508
0.05692,0.07607,0.0660625,0.05461777777777778,0.069006875,0.0703884,0.0710508
0.06932,0.0632,0.0629825,0.06281888888888888,0.07110875,0.061294,0.0710508
0.09584,0.07606,0.060795,0.06276777777777778,0.08060625,0.0721408,0.0710508
0.10812,0.08041,0.0762175,0.07859666666666666,0.074588125,0.0685936,0.0710508
0.07292,0.05541,0.062225,0.07901111111111112,0.06668125,0.0808956,0.0710508
0.12084,0.05158,0.06689,0.0718411111111111,0.072091875,0.064206,0.0710508
0.07176,0.06297,0.0824125,0.05781777777777778,0.072868125,0.0662152,0.0710508
0.07856,0.05807,0.08403,0.06166777777777778,0.061849375,0.070476,0.0710508
0.06428,0.07212,0.0891525,0.053753333333333334,0.079825,0.0666652,0.0710508
0.0568,0.07526,0.06735,0.07130777777777778,0.071688125,0.069866,0.0710508
0.04712,0.07853,0.0804625,0.06586333333333333,0.062271875,0.0695668,0.0710508
0.07656,0.07549,0.072225,0.060013333333333335,0.07136125,0.0703776,0.0710508
0.07552,0.08672,0.0793775,0.09162222222222222,0.071386875,0.0800476,0.0710508
0.06584,0.06957,0.075685,0.07364444444444444,0.071178125,0.0652352,0.0710508
0.07608,0.05731,0.060945,0.04944888888888889,0.07069,0.0712272,0.0710508
0.077,0.08499,0.077435,0.07086,0.07872375,0.06446,0.0710508
0.09492,0.06957,0.065785,0.08171222222222223,0.07698625,0.059748,0.0710508
0.06444,0.06723,0.077125,0.06655555555555556,0.06249625,0.0782456,0.0710508
0.08616,0.09099,0.076645,0.07275111111111111,0.066098125,0.0745696,0.0710508
0.1106,0.08116,0.0618975,0.0693711111111111,0.073420625,0.064708,0.0710508
0.08512,0.07253,0.070255,0.0809,0.05712375,0.0709864,0.0710508
0.07416,0.0677,0.0775275,0.06581,0.06503625,0.0699788,0.0710508
0.08088,0.07084,0.069085,0.06903777777777778,0.059355,0.0731952,0.0710508
0.07772,0.07339,0.0656025,0.06848777777777777,0.057144375,0.0703664,0.0710508
0.08292,0.07056,0.067995,0.07484444444444445,0.083559375,0.0678464,0.0710508
0.09196,0.09667,0.0631175,0.0886311111111111,0.070776875,0.0636216,0.0710508
0.10816,0.08641,0.0859625,0.07926444444444444,0.07537625,0.0747228,0.0710508
0.1238,0.06049,0.0731475,0.07046666666666666,0.0687525,0.0678044,0.0710508
0.07588,0.076,0.0741625,0.061018888888888886,0.06997125,0.0691268,0.0710508
0.0644,0.05809,0.0698625,0.06566222222222222,0.0626725,0.075238,0.0710508
0.02072,0.07987,0.0649675,0.07318444444444444,0.066063125,0.068774,0.0710508
0.06048,0.10673,0.055095,0.07436,0.07577625,0.0575652,0.0710508
0.08424,0.05676,0.0657025,0.06988444444444444,0.06478875,0.0608636,0.0710508
0.05332,0.06661,0.0565725,0.07728777777777777,0.074540625,0.0683308,0.0710508
0.07772,0.08759,0.0685925,0.07250555555555556,0.06828875,0.069328,0.0710508
0.08536,0.0642,0.0692175,0.06837222222222222,0.07451,0.057436,0.0710508
0.07424,0.06269,0.080295,0.07763444444444445,0.060955625,0.068946,0.0710508
0.11532,0.07296,0.06001,0.06795666666666667,0.065189375,0.0752788,0.0710508
0.10636,0.06809,0.0509725,0.07172,0.072244375,0.076974,0.0710508
0.09784,0.08247,0.0678725,0.06546555555555555,0.062896875,0.0706444,0.0710508
0.06932,0.06041,0.1034325,0.07002888888888889,0.07111,0.0685168,0.0710508
0.06872,0.0507,0.0814175,0.07209777777777777,0.05868375,0.075612,0.0710508
0.05212,0.09258,0.060665,0.09241777777777778,0.06368125,0.0691824,0.0710508
0.04616,0.07329,0.0582875,0.06411222222222222,0.080118125,0.0887708,0.0710508
0.06828,0.07581,0.06211,0.07341222222222223,0.0718825,0.0731168,0.0710508
0.06144,0.08162,0.0770075,0.07966333333333334,0.077483125,0.0688304,0.0710508
0.06884,0.04193,0.0600325,0.060513333333333336,0.06986375,0.0714624,0.0710508
0.09928,0.04948,0.07888,0.07100888888888889,0.074685,0.0686564,0.0710508
0.07008,0.08927,0.0686075,0.08493333333333333,0.077015625,0.0751596,0.0710508
0.1138,0.05221,0.0624375,0.07668666666666667,0.0814775,0.0696636,0.0710508
0.08324,0.06585,0.0526325,0.09090444444444444,0.073940625,0.0718172,0.0710508
0.08108,0.05683,0.0766175,0.06408888888888889,0.07632125,0.0754292,0.0710508
0.10216,0.09936,0.0903475,0.07099,0.07602125,0.0809592,0.0710508
0.05844,0.07767,0.0472175,0.06976111111111111,0.067473125,0.0761472,0.0710508
0.09144,0.06657,0.06871,0.0671188888888889,0.0643975,0.0705208,0.0710508
0.0942,0.04609,0.0669725,0.07027111111111112,0.072031875,0.076432,0.0710508
0.05972,0.09074,0.0689925,0.056093333333333335,0.068525625,0.0742672,0.0710508
0.0644,0.07087,0.06887,0.07123222222222222,0.07015875,0.068296,0.0710508
0.01016,0.06694,0.06095,0.07699777777777778,0.068529375,0.0671856,0.0710508
0.08,0.07344,0.0783175,0.07344222222222223,0.071301875,0.0652884,0.0710508
0.10676,0.07791,0.0827125,0.07021888888888889,0.071925,0.0732096,0.0710508
0.02604,0.0586,0.0614925,0.08504555555555555,0.067224375,0.0619144,0.0710508
0.06856,0.06712,0.078735,0.044678888888888886,0.078229375,0.0639392,0.0710508
0.0798,0.09015,0.0718125,0.0632888888888889,0.07217375,0.0734792,0.0710508
0.10404,0.04631,0.0731325,0.07256888888888889,0.073788125,0.074694,0.0710508
0.08516,0.0491,0.0824775,0.05924111111111111,0.0702425,0.067632,0.0710508
0.0238,0.05489,0.0699075,0.059825555555555555,0.059641875,0.0652624,0.0710508
0.05044,0.0941,0.0633975,0.07569,0.068720625,0.0589636,0.0710508
0.072,0.06865,0.0817275,0.06848222222222222,0.0733575,0.0701848,0.0710508
0.10668,0.05805,0.079165,0.08470444444444444,0.074811875,0.068104,0.0710508
0.10092,0.06996,0.0702925,0.07326777777777778,0.068530625,0.0739056,0.0710508
0.0358,0.03968,0.06641,0.06440333333333334,0.080128125,0.0758944,0.0710508
0.05084,0.06652,0.0487325,0.08263333333333334,0.060951875,0.0821356,0.0710508
0.12292,0.07635,0.0617275,0.06046,0.077320625,0.0825864,0.0710508
0.08224,0.07047,0.0649225,0.06470111111111111,0.071475,0.0751436,0.0710508
0.07444,0.08396,0.069555,0.07954222222222222,0.079210625,0.0743912,0.0710508
0.07756,0.07043,0.087075,0.05486,0.09166,0.0714232,0.0710508
0.02228,0.07176,0.0532675,0.08724888888888889,0.070210625,0.0598232,0.0710508
0.05872,0.05949,0.0692325,0.07325,0.0724325,0.0744436,0.0710508
0.0612,0.05952,0.0621125,0.08138888888888889,0.06753625,0.0767948,0.0710508
0.0594,0.09781,0.0802925,0.06868555555555556,0.0627125,0.0628396,0.0710508
0.05136,0.05845,0.0689475,0.08280333333333334,0.081118125,0.0717612,0.0710508
0.10368,0.06504,0.0727175,0.07572666666666666,0.076931875,0.0670852,0.0710508
0.07464,0.0779,0.0800825,0.08377111111111112,0.079421875,0.0633652,0.0710508
0.0334,0.07378,0.0732275,0.07364888888888889,0.073505625,0.0777796,0.0710508
0.06576,0.06623,0.0674875,0.07005,0.076335,0.0709776,0.0710508
0.10892,0.0683,0.0596575,0.08792444444444444,0.080335625,0.0593212,0.0710508
0.05196,0.07839,0.0806625,0.06354333333333333,0.061404375,0.0749236,0.0710508
0.06084,0.04376,0.07569,0.06888777777777778,0.07160125,0.08216,0.0710508
0.07868,0.07002,0.0918225,0.06237111111111111,0.066164375,0.0740692,0.0710508
0.08676,0.10789,0.055445,0.07399777777777777,0.068855625,0.0789696,0.0710508
