n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
0.07328,0.06963,0.0372925,0.038787777777777775,0.0870625,0.0614696,0.0709648
0.04728,0.05742,0.0733125,0.07344666666666666,0.094146875,0.0802844,0.0709648
0.0438,0.05666,0.0636675,0.09059111111111111,0.086036875,0.0640504,0.0709648
0.16112,0.07103,0.1157375,0.07863888888888888,0.070921875,0.0785964,0.0709648
0.03568,0.07216,0.050315,0.07407333333333334,0.067838125,0.0673304,0.0709648
0.07396,0.08639,0.0794275,0.06769777777777777,0.0711525,0.0942924,0.0709648
0.0886,0.11513,0.08187,0.06385111111111111,0.06611,0.0704468,0.0709648
0.08792,0.04978,0.02622,0.06091111111111111,0.057625,0.0585844,0.0709648
0.06632,0.0281,0.0814575,0.06592333333333333,0.079171875,0.0606708,0.0709648
0.10664,0.06725,0.06305,0.07021444444444444,0.075848125,0.0676996,0.0709648
0.10184,0.04339,0.0716225,0.07554666666666666,0.076871875,0.077418,0.0709648
0.02708,0.06237,0.0882525,0.07947222222222222,0.090909375,0.0631316,0.0709648
0.05432,0.06994,0.070685,0.07818888888888889,0.081045,0.071896,0.0709648
0.02888,0.04729,0.0872775,0.08714888888888889,0.06545375,0.062056,0.0709648
0.20068,0.06601,0.0176225,0.05855666666666667,0.065925,0.0760592,0.0709648
0.10184,0.0505,0.0537475,0.08048666666666666,0.061406875,0.0854776,0.0709648
0.14808,0.04377,0.06858,0.05148666666666667,0.0643925,0.0862016,0.0709648
0.06996,0.06611,0.07341,0.0814388888888889,0.05464375,0.0807136,0.0709648
0.13928,0.04596,0.09421,0.09018777777777778,0.07045875,0.0690432,0.0709648
0.11236,0.0418,0.069485,0.047253333333333335,0.074904375,0.081826,0.0709648
0.07628,0.02151,0.0456025,0.05463333333333333,0.0897525,0.064958,0.0709648
0.06104,0.04677,0.0748675,0.08273666666666667,0.0685025,0.0807644,0.0709648
0.0508,0.05392,0.0300175,0.06227777777777778,0.059998125,0.052342,0.0709648
0.0278,0.05023,0.0575925,0.05376888888888889,0.0865225,0.0744212,0.0709648
0.04516,0.07068,0.114175,0.06928444444444444,0.088174375,0.0820608,0.0709648
0.02472,0.05664,0.07553,0.06569777777777777,0.052595,0.0674776,0.0709648
0.00252,0.09,0.07099,0.07706,0.078089375,0.070542,0.0709648
0.05512,0.09035,0.0319,0.06823444444444444,0.058646875,0.0621928,0.0709648
0.05028,0.07362,0.09696,0.061533333333333336,0.06507625,0.0713004,0.0709648
0.09544,0.09194,0.0728175,0.05195,0.0980725,0.0772536,0.0709648
0.1312,0.0192,0.0826725,0.06907555555555556,0.080415625,0.073226,0.0709648
0.09432,0.08686,0.065245,0.08239777777777778,0.078125625,0.0779744,0.0709648
0.04828,0.05025,0.044605,0.06011,0.061401875,0.0615496,0.0709648
0.0818,0.0602,0.0394125,0.05881666666666667,0.035245625,0.0689148,0.0709648
0.09976,0.04666,0.07258,0.08685777777777778,0.083533125,0.0629272,0.0709648
0.08984,0.08263,0.0635425,0.05771,0.10067,0.068578,0.0709648
0.00496,0.16654,0.0624975,0.07397111111111111,0.07471625,0.0650124,0.0709648
0.06336,0.08772,0.071825,0.056716666666666665,0.0669875,0.0586532,0.0709648
0.04756,0.13754,0.0540675,0.06769777777777777,0.084575625,0.0761408,0.0709648
0.12784,0.04036,0.0706875,0.08198444444444444,0.075503125,0.0742944,0.0709648
0.07584,0.07836,0.0720125,0.0979,0.047889375,0.066268,0.0709648
0.06656,0.06469,0.039885,0.062253333333333334,0.084014375,0.0748132,0.0709648
0.06452,0.04601,0.0745125,0.04343222222222222,0.080445625,0.0504432,0.0709648
0.078,0.08268,0.075495,0.07021222222222222,0.064005625,0.0684348,0.0709648
0.09728,0.06699,0.080855,0.053475555555555554,0.069916875,0.0671864,0.0709648
0.04168,0.06886,0.0860575,0.08215222222222222,0.08178625,0.0994732,0.0709648
0.02856,0.09672,0.06602,0.08731444444444444,0.09173375,0.0668684,0.0709648
0.0814,0.1061,0.04384,0.07373666666666667,0.09607125,0.0872168,0.0709648
0.06352,0.04475,0.0976275,0.07032222222222222,0.08238875,0.0803644,0.0709648
0.01132,0.07466,0.059875,0.07008555555555555,0.086824375,0.0876244,0.0709648
0.03984,0.03715,0.0744725,0.06347333333333334,0.069451875,0.072386,0.0709648
0.10604,0.07783,0.064525,0.05809444444444444,0.06541875,0.0569308,0.0709648
0.07608,0.06416,0.057485,0.09351,0.070975625,0.0742848,0.0709648
0.07464,0.10303,0.06839,0.08531555555555556,0.0587325,0.0879176,0.0709648
0.0306,0.01371,0.062825,0.06427222222222222,0.073205,0.0659508,0.0709648
0.09464,0.09318,0.0591125,0.05720444444444445,0.070928125,0.061894,0.0709648
0.07652,0.10179,0.031615,0.09060555555555555,0.078105625,0.0681456,0.0709648
0.05336,0.03093,0.073295,0.09199333333333333,0.038309375,0.054284,0.0709648
0.06672,0.06624,0.0899525,0.08592222222222222,0.06952875,0.0654564,0.0709648
0.07264,0.07374,0.0680075,0.09719444444444444,0.0693025,0.0584164,0.0709648
0.02412,0.04665,0.080535,0.08446777777777778,0.053843125,0.076474,0.0709648
0.00852,0.10552,0.0785475,0.061288888888888886,0.082844375,0.073146,0.0709648
-0.01432,0.08306,0.060955,0.057645555555555554,0.09015,0.0783216,0.0709648
