,L,A,Y
0,1,0,1
4076,0,0,1
29861,1,0,0
53717,1,1,1
23820,1,1,1
39945,0,1,1
22224,0,0,0
17332,1,0,0
22600,0,0,0
30409,1,0,1
11699,1,0,1
48006,0,0,0
13275,0,1,0
6728,0,0,0
8087,0,1,0
49668,0,1,0
41890,0,1,0
4110,0,1,1
9441,0,0,1
47335,0,1,1
37629,0,1,0
3591,0,0,0
22954,1,1,0
6185,0,0,0
1,1,0,0
8670,1,0,1
21767,0,0,0
41815,0,1,0
49744,0,0,1
10065,0,1,0
46613,0,0,0
20376,1,1,0
203,1,0,1
14646,1,1,0
84,0,1,1
53990,1,0,0
2,1,1,0
42452,0,1,1
27264,0,1,0
43274,0,0,0
24848,1,1,0
3,1,0,1
50166,0,1,0
47979,1,0,0
34959,1,0,0
17210,0,0,0
22144,1,0,0
1858,1,1,0
45565,0,1,1
17353,0,0,1
2330,1,1,0
42519,1,0,1
6587,0,0,1
49502,1,1,0
52855,1,1,1
53721,0,0,1
42742,0,0,1
52662,1,1,0
11044,1,1,1
10027,0,0,0
11451,1,1,0
13702,1,0,1
22237,0,1,0
4,1,0,0
40648,1,1,1
8671,0,0,0
34449,1,0,1
8991,0,1,0
43353,1,1,1
44829,0,1,0
24133,0,0,0
21512,1,0,1
26495,0,0,1
31863,0,1,1
7915,0,0,0
27958,1,1,0
52689,0,0,0
53686,0,1,1
1468,0,1,1
9224,0,1,0
1276,0,1,0
23901,1,0,1
30687,1,0,0
28544,1,0,0
35187,1,0,1
4062,0,0,0
15048,0,1,0
27110,0,0,0
7989,1,1,1
38601,0,0,0
3964,1,0,0
23224,0,0,1
47353,0,0,1
32117,1,0,1
14732,1,0,0
15155,0,1,0
47349,1,1,1
5,0,0,0
5258,1,0,0
19964,1,0,1
17304,1,0,1
6,0,0,0
12431,0,1,1
1900,0,0,1
12944,1,1,0
6654,1,1,0
23855,1,1,1
22317,1,1,1
24621,0,0,0
1051,1,1,1
8650,0,0,0
26837,0,0,1
31065,1,0,0
