,L,A,Y
0,0,1,0
4076,1,1,1
29861,0,1,1
53717,0,0,1
23820,0,0,0
39945,0,0,0
22224,0,0,0
17332,0,0,0
22600,0,0,0
30409,0,0,0
11699,0,0,0
48006,1,1,1
13275,0,0,0
6728,1,1,1
8087,0,0,0
49668,0,0,0
41890,0,1,1
4110,0,0,1
9441,1,0,0
47335,1,1,1
37629,1,0,0
3591,0,0,0
22954,0,0,0
6185,0,0,0
1,1,0,0
8670,0,0,0
21767,0,0,0
41815,1,1,0
49744,1,0,0
10065,1,1,1
46613,0,0,0
20376,0,0,0
203,0,0,0
14646,1,0,0
84,0,0,0
53990,0,0,0
2,1,0,1
42452,0,0,0
27264,0,1,1
43274,0,0,0
24848,1,0,0
3,0,0,0
50166,1,0,1
47979,1,1,1
34959,1,1,0
17210,0,0,0
22144,1,0,0
1858,0,1,0
45565,0,0,0
17353,0,0,0
2330,1,0,0
42519,0,1,1
6587,0,0,0
49502,0,0,0
52855,1,1,1
53721,0,0,0
42742,1,0,1
52662,0,0,1
11044,1,0,1
10027,1,1,1
11451,0,0,0
13702,0,0,0
22237,0,0,0
4,0,0,0
40648,1,0,0
8671,0,1,1
34449,1,1,1
8991,0,0,0
43353,0,1,1
44829,0,0,0
24133,0,0,0
21512,0,0,0
26495,0,0,0
31863,0,1,0
7915,0,1,0
27958,0,0,0
52689,1,1,1
53686,0,0,0
1468,0,1,1
9224,0,0,0
1276,0,0,0
23901,0,0,0
30687,0,0,0
28544,1,1,1
35187,1,0,1
4062,1,1,1
15048,0,0,0
27110,0,0,0
7989,0,1,1
38601,0,0,0
3964,0,0,0
23224,0,1,0
47353,1,1,1
32117,0,0,0
14732,0,0,0
15155,0,0,0
47349,1,1,0
5,0,1,1
5258,0,0,0
19964,0,0,0
17304,0,0,0
6,0,0,0
12431,0,1,0
1900,0,0,0
12944,1,1,1
6654,1,1,1
23855,0,1,1
22317,0,0,0
24621,0,0,0
1051,0,1,0
8650,0,1,1
26837,0,0,0
31065,0,0,0
7,1,0,1
50470,1,0,0
7232,0,0,0
19057,1,0,0
11726,0,0,0
7527,0,0,0
29543,1,0,1
21850,0,0,0
45501,1,0,0
38873,1,0,1
52982,0,0,0
39928,1,0,1
45561,0,0,0
32948,0,0,1
30325,0,0,0
26502,1,0,0
40879,1,0,1
8,0,0,0
48199,0,1,1
11420,1,0,0
14768,0,0,0
7090,1,0,0
40002,0,0,0
46603,0,0,0
9,1,0,1
53252,0,0,0
32785,0,0,1
12847,0,1,0
45435,0,0,0
34525,0,0,0
58,0,0,0
6104,0,0,0
32895,0,0,0
28515,0,0,0
23028,0,0,0
36022,0,0,0
53154,0,0,0
37240,0,0,0
10,0,0,0
42088,1,1,1
40170,0,0,1
3537,0,0,0
54274,0,0,1
2160,0,0,0
7289,1,1,1
23138,1,0,1
45216,1,0,0
8067,0,1,1
14358,1,0,0
48491,1,0,0
19895,1,0,1
11,0,0,0
12611,0,0,0
16288,0,0,0
10526,0,1,0
14147,1,1,0
24970,0,1,0
21789,0,0,0
21791,0,0,0
16951,1,1,1
31280,0,0,0
15893,0,0,0
31087,0,0,0
228,0,0,0
31701,0,0,0
50468,0,0,0
1410,0,0,0
41188,0,0,0
32751,1,0,0
25218,0,0,0
48861,0,0,0
15918,0,0,0
36943,0,0,0
8244,0,1,0
1686,0,0,0
10986,1,1,1
12032,0,0,0
33897,0,0,0
19230,0,0,0
30293,0,0,0
43541,0,0,0
34885,0,0,0
34343,0,1,1
20210,0,0,0
40461,0,0,1
23074,0,0,0
1515,0,1,0
33051,0,1,1
49837,0,0,0
42465,0,0,0
16160,0,0,1
43789,1,0,1
4807,0,0,0
49746,1,0,0
24229,0,0,1
21255,0,0,0
16274,1,0,0
54351,1,0,0
38560,0,0,0
50530,0,0,0
49868,0,0,0
28230,0,0,0
15793,1,0,0
37710,0,0,0
39866,0,0,0
32906,0,0,0
13588,1,1,0
43578,0,0,0
32286,0,0,1
30879,0,0,0
8774,1,1,1
8558,0,0,0
7745,1,0,1
36654,1,1,0
9600,0,0,0
2251,0,0,1
29245,0,0,0
8571,1,0,1
48997,0,0,0
14654,0,0,0
46738,0,0,0
16474,0,1,0
44308,0,0,0
44538,0,0,0
48791,1,0,0
16980,1,0,0
4839,0,0,0
30634,0,0,0
6311,0,0,0
18519,0,0,0
7913,1,1,1
21138,1,1,0
14263,0,1,0
47462,1,1,1
10934,0,0,0
21350,0,0,0
49858,0,0,0
12,0,0,1
51158,1,1,1
42829,0,1,1
27771,0,1,1
48855,0,1,1
44854,0,0,0
1520,0,0,0
38900,1,1,0
115,0,0,1
49186,0,0,0
41930,0,0,0
13041,0,0,0
25505,1,1,1
32325,1,0,1
9560,0,0,1
2485,1,0,1
27608,0,1,0
26126,1,1,0
37996,1,1,1
29011,0,0,0
6957,1,0,0
52258,1,0,0
19389,0,0,0
26446,1,1,0
25852,1,1,1
5540,0,0,0
38159,0,1,1
41650,0,0,1
20274,1,0,0
27794,1,1,1
40594,0,1,1
51926,0,0,0
36925,0,0,0
11596,0,0,0
53954,1,1,1
25479,1,0,0
13736,0,1,1
26879,0,0,0
33165,0,0,0
14004,0,0,0
14,0,0,0
50055,0,0,0
21325,0,0,0
43845,0,0,0
12656,1,0,0
16317,1,0,0
47011,0,1,0
45973,0,0,1
412,0,0,0
52702,0,0,1
49691,0,1,1
32299,0,1,1
31407,1,1,0
15,1,1,1
52246,1,1,1
41271,1,0,0
16,1,1,0
14359,0,0,0
50275,0,0,0
12603,1,0,0
28100,0,0,0
40813,0,0,0
1807,1,0,0
37511,1,1,1
1702,1,1,0
2307,0,0,1
19866,0,1,0
46714,1,0,1
24447,0,0,0
17,1,1,1
13696,1,1,1
614,1,1,1
2956,0,0,0
