,L,A,Y
0,1,0,1
24208,0,0,0
24445,0,0,1
18055,0,0,0
26575,0,0,0
12596,1,1,1
28092,0,1,0
14484,1,0,1
14809,1,1,1
47328,0,0,0
32542,0,1,1
36124,1,1,0
35300,0,0,0
2570,1,1,0
1,0,1,1
5463,0,1,0
14232,0,1,1
4833,1,0,1
36852,0,0,1
37620,1,0,1
2,0,1,1
45548,0,1,0
34493,0,1,1
7694,1,0,0
27683,0,1,0
41624,1,0,0
21711,0,1,0
9769,0,0,0
34620,0,0,1
44553,0,0,1
38102,1,1,1
34634,0,1,0
16672,1,0,1
41498,0,0,1
25355,0,0,0
33700,0,1,1
10124,0,0,0
26250,1,0,0
3,0,0,0
26518,0,1,1
39718,1,1,0
13713,0,1,1
34114,1,0,0
19454,1,1,0
45114,1,1,0
4429,1,1,0
2573,1,0,0
46000,0,0,0
27675,0,0,1
28430,1,1,0
6627,0,0,1
46753,0,1,0
4,0,0,1
45360,1,0,1
12512,1,0,1
39244,1,1,1
46144,0,1,0
13028,0,0,1
1774,0,0,0
42738,1,1,0
15633,1,0,0
28266,0,1,1
31624,1,1,1
13495,1,1,0
33403,0,0,0
9077,1,1,1
2444,1,1,0
27914,0,0,1
7058,0,1,0
2385,1,0,0
45791,1,0,1
43644,0,0,1
41120,0,0,1
33275,0,0,1
25213,0,1,0
3899,0,0,0
39561,1,1,1
13177,0,1,0
26791,1,0,1
5,0,0,1
17133,1,1,1
6400,0,0,0
38723,1,1,1
10656,1,1,1
11090,0,1,1
30907,1,1,0
34224,0,1,0
33870,1,0,0
37933,0,1,0
30022,0,1,0
23361,1,1,0
37363,1,0,0
36551,1,0,0
15444,1,0,1
14970,1,1,1
20687,0,1,1
2006,1,1,0
21101,1,1,0
8047,0,0,0
18702,1,1,0
6,1,1,1
15555,0,1,1
19884,1,0,1
1384,0,0,1
11296,1,0,0
30595,0,1,0
13352,0,0,1
40934,1,1,1
7,1,0,1
29097,1,0,0
28466,1,1,0
1743,0,1,0
31566,1,0,1
3590,1,1,0
583,1,1,0
10783,0,0,0
26843,1,1,1
8186,0,1,1
8342,1,0,1
35181,1,1,1
14679,1,0,1
8,1,0,1
31932,0,0,1
15161,0,0,1
3348,1,1,0
35935,0,0,1
14906,0,0,1
10399,1,0,0
32970,0,1,1
19811,0,0,0
32635,0,0,0
44111,1,0,0
38033,0,0,0
9,0,1,0
35004,1,1,0
35711,1,1,0
24486,1,0,1
23531,1,0,0
17994,1,1,1
21009,1,0,1
7563,1,1,1
45774,0,1,0
43036,0,1,0
34010,0,0,1
730,0,0,0
10,1,0,0
42558,1,0,0
24774,0,1,1
42656,0,1,0
899,1,0,0
35605,1,1,0
43238,0,0,0
19031,0,1,0
11,1,0,1
42779,1,1,0
32765,1,1,1
44990,0,1,0
44172,1,1,1
22618,1,0,0
21470,1,0,1
23542,1,0,1
1008,1,1,0
23076,1,1,1
1489,0,0,1
5298,1,0,0
23483,0,0,1
42089,1,0,0
12,0,1,1
4122,0,0,1
3467,0,0,0
35488,1,0,0
8526,1,1,1
15289,1,0,1
7431,1,0,0
10057,1,1,0
