,L,A,Y
0,1,1,0
24208,0,0,1
24445,0,1,0
18055,0,0,1
26575,1,1,0
12596,0,0,0
28092,1,0,1
14484,1,1,0
14809,0,0,0
47328,1,1,1
32542,1,0,1
36124,1,1,0
35300,1,1,0
2570,0,0,1
1,0,1,0
5463,0,0,0
14232,0,0,1
4833,0,0,1
36852,0,1,0
37620,0,0,1
2,1,1,1
45548,0,0,0
34493,0,0,1
7694,0,1,1
27683,0,1,1
41624,0,0,1
21711,1,0,0
9769,1,1,1
34620,0,0,1
44553,0,0,0
38102,0,1,1
34634,0,0,1
16672,1,0,0
41498,1,1,1
25355,0,0,0
33700,0,1,0
10124,1,0,1
26250,1,1,1
3,1,1,1
26518,1,1,1
39718,1,1,1
13713,1,0,1
34114,0,1,1
19454,1,1,1
45114,0,1,1
4429,0,1,0
2573,1,1,1
46000,1,1,1
27675,0,1,1
28430,1,0,1
6627,1,1,1
46753,1,0,0
4,0,0,1
45360,0,0,0
12512,1,0,1
39244,0,0,1
46144,0,0,0
13028,0,0,0
1774,1,1,1
42738,1,0,0
15633,1,0,1
28266,1,1,1
31624,0,0,1
13495,0,1,1
33403,0,1,1
9077,0,1,0
2444,0,0,1
27914,0,1,1
7058,1,1,1
2385,1,1,1
45791,0,0,1
43644,1,1,1
41120,1,1,1
33275,0,1,0
25213,0,0,1
3899,0,0,1
39561,0,1,0
13177,1,0,1
26791,0,0,0
5,0,0,1
17133,1,1,0
6400,0,1,0
38723,0,0,0
10656,0,0,0
11090,1,0,0
30907,0,0,0
34224,0,1,1
33870,1,1,1
37933,0,1,0
30022,0,1,0
23361,0,1,0
37363,0,0,1
36551,1,1,1
15444,1,1,1
14970,1,1,1
20687,1,1,1
2006,1,1,1
21101,1,1,1
8047,0,1,1
18702,1,0,1
6,0,0,1
15555,1,0,1
19884,0,1,1
1384,1,1,0
11296,1,1,1
30595,1,1,1
13352,1,1,1
40934,1,1,1
7,1,1,1
29097,1,1,1
28466,0,0,1
1743,1,1,1
31566,1,1,0
3590,1,1,0
583,1,1,1
10783,1,1,1
26843,0,0,1
8186,0,0,0
8342,0,0,0
35181,0,0,0
14679,0,1,1
8,0,1,0
31932,1,1,0
15161,1,1,1
3348,0,1,1
35935,1,0,1
14906,0,1,1
10399,0,0,0
32970,1,1,1
19811,1,1,0
32635,1,0,1
44111,0,0,1
38033,1,0,0
9,1,1,0
35004,0,0,0
35711,1,1,0
24486,0,0,0
23531,0,0,0
17994,0,0,1
21009,0,1,1
7563,1,1,1
45774,1,1,1
43036,0,1,0
34010,0,0,0
730,0,1,0
10,0,0,1
42558,1,1,0
24774,1,1,1
42656,0,0,1
899,0,0,0
35605,0,0,0
43238,1,1,1
19031,0,0,0
11,1,0,1
42779,0,1,1
32765,1,1,1
44990,1,0,0
44172,0,0,1
22618,0,0,0
21470,0,1,0
23542,1,1,0
1008,1,1,1
23076,1,0,0
1489,0,0,1
5298,1,1,0
23483,1,0,1
42089,0,0,1
12,0,1,1
4122,1,0,0
3467,0,0,1
35488,1,0,0
8526,0,1,1
15289,1,1,1
7431,1,0,1
10057,0,1,0
8416,0,1,0
43436,1,1,1
3792,0,0,1
29132,1,1,1
13,0,0,0
8204,1,1,1
17712,1,1,1
14,0,0,0
5218,0,0,0
34474,1,1,0
24336,0,0,0
31224,0,0,0
27211,1,0,1
20162,0,0,1
8075,1,1,1
8015,1,1,1
11458,0,1,1
32210,1,1,1
111,0,1,1
22462,0,1,1
8830,1,0,1
2739,1,0,1
31705,1,0,0
6308,0,1,1
47003,0,0,0
23023,1,0,1
19532,1,0,1
14055,1,0,1
20312,1,1,0
30120,1,1,0
33623,0,1,1
16,0,1,0
30206,1,0,0
9445,1,0,1
10639,1,1,1
38611,1,1,1
2688,0,0,1
43782,0,1,1
8363,1,1,1
8426,1,0,0
43801,1,0,1
17,1,0,0
17420,1,1,1
23883,0,0,0
43305,1,1,1
21673,0,1,1
24890,1,1,0
15382,0,1,1
37452,0,0,0
27153,0,1,1
36769,0,0,1
2180,0,0,1
5386,0,0,1
15975,1,0,1
7325,1,1,1
3715,1,0,0
10530,0,0,1
7865,1,0,1
21647,0,1,0
19057,1,0,1
33262,0,1,1
43974,0,1,0
24224,1,0,1
18823,0,0,1
25268,1,1,1
30913,0,0,1
27686,0,1,0
46446,1,1,1
