,L,A,Y
0,0,0,0
37825,1,0,1
17224,0,0,0
6356,1,1,1
1,0,1,0
18053,1,0,0
31265,0,0,0
28257,0,1,0
41010,1,1,0
19010,1,1,0
10785,1,1,0
41676,0,1,0
5800,0,1,0
1979,1,1,1
11621,1,0,1
2,0,0,0
4661,0,1,1
35935,1,1,0
3,0,1,0
22504,0,0,0
27665,1,1,0
13675,0,0,0
9462,0,0,0
20943,1,0,1
5842,1,1,1
36937,1,0,1
10824,0,1,0
13371,1,1,0
5775,0,1,0
39603,0,1,0
35513,1,1,1
4,1,0,0
35041,1,0,0
16026,0,1,0
5,0,1,1
17311,0,1,0
886,1,0,1
5112,1,1,1
21465,1,1,0
31989,0,1,1
10076,1,0,1
14587,0,0,1
11388,0,1,1
8650,1,1,0
6,1,1,0
7640,0,0,0
7,0,0,1
34808,0,1,0
37314,1,0,1
22280,0,1,1
14353,1,1,0
6950,0,1,0
2759,1,0,0
27931,1,0,1
38148,1,0,0
19949,0,0,0
39987,0,1,1
8,1,1,1
22889,0,1,1
34909,0,1,0
9,0,1,0
15747,0,0,0
15691,1,1,1
10,0,0,1
10338,0,1,0
26732,0,0,1
24103,0,1,1
31127,1,1,1
23917,0,0,0
20276,1,0,1
39527,1,0,1
15609,1,1,1
36093,1,1,0
5090,0,0,0
30778,0,1,0
8486,0,1,0
18950,0,0,1
30882,1,0,0
1991,1,1,0
29687,1,0,1
4360,1,0,0
10972,0,0,0
34750,0,0,1
31807,0,1,0
12657,0,1,1
7670,0,0,0
27741,0,0,0
32176,1,1,1
2821,1,1,1
11,0,1,0
4125,0,1,0
27819,0,1,1
35406,1,0,0
12,1,1,0
21484,0,0,1
3308,1,0,0
29938,0,0,0
14,0,1,0
20407,0,1,1
20243,1,1,1
3099,1,1,0
12199,1,0,0
35966,1,1,1
35945,0,1,0
15,0,0,0
8827,1,0,0
34585,0,0,0
20233,1,1,0
20136,0,0,0
24550,0,1,0
40536,1,1,0
40237,1,1,1
4369,1,1,0
17,1,0,1
8427,0,0,1
31735,0,1,1
18,1,0,1
5895,1,1,1
32159,1,1,1
19,1,0,1
2905,1,1,1
37870,0,0,1
17348,1,0,1
25135,0,1,0
24389,0,0,1
10381,1,1,1
23171,1,0,1
29867,1,0,0
18791,1,0,0
20,0,1,1
29250,1,1,1
38920,1,1,0
27913,0,1,0
381,0,0,0
23539,0,0,0
21,1,0,0
32493,1,0,1
41437,1,0,0
19870,1,1,0
25676,1,0,0
22,1,0,0
9288,1,0,0
23,1,0,0
32930,1,0,1
8912,1,1,1
32676,0,1,1
13698,0,1,1
40369,0,1,0
39355,0,1,1
35166,0,0,0
30592,1,0,0
24,1,0,0
37877,0,0,1
29120,0,0,0
32242,1,0,0
655,0,1,0
10225,1,1,1
2184,0,1,0
22610,0,1,1
31584,0,1,1
33623,1,1,0
7887,1,1,1
12825,0,1,1
28455,1,1,1
25,1,0,1
36326,0,0,0
24294,1,1,1
22834,1,1,0
36506,0,0,0
6474,0,1,1
26,0,0,0
2014,0,0,0
1558,1,0,0
20071,1,0,1
17291,1,0,0
28,1,1,0
8718,0,0,0
2668,1,1,0
38583,1,1,0
26106,0,0,1
4021,1,1,0
16651,0,1,1
19031,0,0,1
2357,1,0,0
23468,1,1,1
26219,0,1,1
33620,0,1,0
29,0,1,0
38307,1,1,0
32834,0,0,0
37150,0,0,0
30,0,0,1
13669,0,0,1
34490,0,0,1
11987,1,0,1
35382,0,1,0
20235,0,1,0
41573,1,1,0
3461,1,0,1
29635,1,1,0
32,0,1,0
10105,1,1,0
14408,0,0,0
31112,1,0,0
23942,0,0,0
174,0,0,1
1464,0,0,0
18421,1,1,1
18876,1,1,0
26045,1,0,1
36558,1,0,0
11004,0,1,0
