,L,A,Y
0,0,1,1
37825,0,0,0
17224,0,0,0
6356,0,0,0
1,0,0,0
18053,1,1,1
31265,0,1,1
28257,1,1,1
41010,0,1,0
19010,0,0,0
10785,1,1,1
41676,1,0,0
5800,1,1,1
1979,1,1,1
11621,0,0,0
2,1,1,1
4661,0,0,0
35935,0,0,1
3,0,0,0
22504,0,0,1
27665,0,0,0
13675,1,0,0
9462,0,0,1
20943,0,0,0
5842,0,0,1
36937,1,0,0
10824,1,1,1
13371,0,0,0
5775,0,0,0
39603,1,1,1
35513,0,0,0
4,0,0,0
35041,1,1,1
16026,1,0,0
5,0,0,0
17311,0,1,1
886,1,1,1
5112,0,0,0
21465,1,0,0
31989,0,1,1
10076,1,1,1
14587,0,1,0
11388,0,1,1
8650,0,1,0
6,1,0,0
7640,0,0,0
7,0,1,0
34808,1,1,0
37314,1,0,1
22280,0,0,1
14353,0,0,0
6950,0,1,0
2759,0,0,0
27931,1,0,0
38148,0,1,0
19949,0,0,0
39987,0,1,1
8,0,1,0
22889,1,1,1
34909,1,0,0
9,0,0,0
15747,1,1,1
15691,1,0,1
10,0,0,0
10338,1,1,1
26732,0,0,0
24103,1,1,1
31127,0,0,0
23917,1,1,0
20276,0,0,1
39527,1,1,1
15609,0,0,0
36093,1,1,1
5090,0,0,1
30778,1,0,0
8486,0,0,0
18950,0,1,0
30882,0,0,1
1991,0,0,0
29687,1,1,1
4360,0,0,1
10972,0,1,1
34750,1,0,1
31807,0,1,1
12657,1,1,1
7670,0,1,0
27741,1,0,0
32176,1,1,0
2821,0,1,1
11,0,0,1
4125,0,1,1
27819,0,0,0
35406,0,1,0
12,1,1,1
21484,1,1,1
3308,1,0,0
29938,0,1,0
14,0,0,0
20407,0,0,0
20243,1,1,1
3099,0,1,0
12199,0,1,1
35966,1,0,0
35945,1,0,0
15,1,1,1
8827,1,0,0
34585,0,0,0
20233,1,1,1
20136,0,0,0
24550,0,0,0
40536,1,1,1
40237,1,1,1
4369,0,0,0
17,1,1,1
8427,1,1,1
31735,1,0,0
18,1,1,1
5895,1,0,1
32159,0,0,0
19,0,0,0
2905,0,0,0
37870,0,0,1
17348,0,0,0
25135,0,1,1
24389,0,1,1
10381,1,0,0
23171,0,1,1
29867,1,0,0
18791,0,0,0
20,0,0,1
29250,1,1,1
38920,1,0,0
27913,0,0,0
381,0,0,0
23539,0,0,0
21,0,1,1
32493,1,0,1
41437,1,1,0
19870,1,1,0
25676,0,1,1
22,1,1,1
9288,1,1,1
23,0,0,1
32930,1,0,1
8912,0,0,0
32676,0,0,0
13698,0,0,0
40369,0,0,0
39355,1,1,1
35166,0,0,1
30592,1,1,1
24,0,1,1
37877,0,0,0
29120,0,0,0
32242,1,1,1
655,0,0,0
10225,1,1,1
2184,1,0,0
22610,0,0,0
31584,1,0,1
33623,0,0,0
7887,0,1,1
12825,0,0,0
28455,0,0,0
25,1,1,1
36326,1,1,1
24294,0,0,0
22834,1,0,0
36506,0,1,1
6474,0,0,0
26,0,0,0
2014,0,0,0
1558,1,1,1
20071,0,0,0
17291,1,1,1
28,0,1,1
8718,1,1,1
2668,1,0,0
38583,0,0,0
26106,0,0,0
4021,1,0,0
16651,1,0,0
19031,1,1,1
2357,0,0,0
23468,1,1,1
26219,1,0,0
33620,0,0,0
29,0,1,1
38307,0,0,1
32834,0,1,1
37150,0,0,0
30,0,0,1
13669,0,1,1
34490,0,0,1
11987,1,0,0
35382,1,0,0
20235,1,1,1
41573,0,1,1
3461,0,0,0
29635,1,0,1
32,1,1,1
10105,1,1,1
14408,0,0,0
31112,0,0,0
23942,0,0,1
174,0,0,0
1464,1,1,1
18421,0,0,0
18876,0,0,1
26045,1,1,1
36558,0,1,0
11004,1,1,1
14404,0,0,0
343,1,0,0
19266,0,0,0
23893,0,1,0
4144,1,0,0
30752,1,1,1
32452,0,0,1
32622,1,0,0
37028,0,0,0
3643,0,0,0
35842,0,0,0
37680,0,0,0
20102,0,0,0
38902,1,0,0
36328,0,0,0
41637,0,1,1
35,0,1,0
37789,1,1,1
36,0,0,1
27445,1,0,0
29229,0,0,0
13612,0,0,1
28090,0,0,0
37657,1,0,1
14264,1,0,0
37,0,1,1
36200,0,0,0
38,1,1,1
1670,0,0,1
37785,1,0,1
8888,0,0,0
15461,1,1,1
29525,0,0,0
39,0,1,1
23513,0,1,0
19188,0,0,0
24425,0,0,0
32804,0,0,0
34445,1,1,0
39906,0,1,1
35479,0,0,0
40439,0,0,0
7639,1,0,0
30597,1,0,0
2252,0,0,0
14114,1,0,0
2656,0,1,1
33053,0,0,0
41,1,1,1
13560,0,1,1
15106,0,0,0
42,0,1,0
25395,1,0,1
3796,0,0,0
14599,0,1,0
19593,0,1,0
40106,0,0,1
43,1,1,1
5559,0,1,1
25922,1,1,1
41744,0,0,0
25711,1,0,1
44,0,0,0
402,0,0,1
18351,0,1,1
16025,1,0,1
11701,1,1,1
28093,1,1,0
37027,0,1,0
39977,1,1,1
45,1,1,1
751,0,0,0
14039,1,0,0
4447,1,1,1
11926,0,0,0
28464,1,1,1
8397,0,0,0
24637,0,0,0
46,0,1,0
36404,0,0,0
19576,0,0,0
25422,1,0,0
19439,1,1,1
35387,0,0,0
36518,0,1,1
47,0,0,1
9825,1,0,0
15203,0,0,1
31131,0,1,1
13796,0,0,0
39820,0,0,0
30668,1,1,0
15574,0,1,1
6730,0,0,0
17892,0,0,1
48,1,0,1
108,0,0,1
39864,0,1,0
30318,0,0,0
29797,1,1,1
14331,0,0,0
41738,1,1,1
21636,1,1,0
38267,0,1,1
5393,0,0,0
25081,0,1,1
49,0,0,0
10173,1,1,1
12817,0,0,0
22971,1,1,1
40879,1,0,0
8516,0,1,1
6241,1,0,1
34972,0,0,0
35607,1,0,0
24398,0,0,0
20333,1,0,0
27440,1,0,1
5531,1,1,1
25025,0,0,0
19659,0,0,0
39691,1,0,0
18374,0,0,0
2191,1,1,1
8078,1,1,1
4402,1,0,0
37644,1,1,1
41611,0,0,0
14409,0,1,0
29766,0,1,1
38892,0,0,1
1128,0,0,0
16871,0,0,0
11680,1,0,1
36120,0,0,1
31352,0,0,1
36991,0,1,1
51,0,1,0
11858,1,1,1
7354,0,0,0
35301,1,1,1
52,0,0,0
362,1,1,1
21896,0,1,1
19118,1,0,1
5215,1,1,1
16003,0,1,0
24923,1,1,1
1697,1,1,1
53,0,0,1
28578,0,0,0
38620,0,0,0
10547,1,0,0
10210,0,0,0
31068,0,0,1
30214,0,1,1
25836,1,1,0
40519,0,1,1
35194,0,1,0
31368,0,0,0
4291,0,0,1
32751,1,0,0
