,L,A,Y
0,0,1,0
14270,0,1,0
16976,1,1,0
12029,0,0,0
3001,1,1,0
14581,1,1,0
14145,1,1,1
25564,0,1,1
1,1,1,1
26065,1,1,1
2514,0,1,0
16675,0,0,0
19675,0,1,1
34,0,1,0
190,1,1,1
2211,1,0,0
2003,0,0,0
11290,0,0,1
5011,1,1,0
24836,0,0,0
18843,0,1,0
10646,1,1,0
22658,0,0,1
6133,0,1,0
21695,0,1,1
23366,1,0,1
20208,1,1,1
26238,0,0,0
16152,1,0,0
24911,0,1,1
10314,1,1,0
17,1,1,0
12734,0,0,1
13802,0,0,1
19211,1,1,1
3153,0,1,0
24435,1,0,0
1370,1,1,1
23544,0,0,0
25311,0,0,0
11706,0,1,1
28238,1,0,0
22673,0,0,1
3290,1,1,0
15292,0,1,1
7618,1,1,1
8071,0,1,0
15355,1,0,1
3364,1,1,0
22616,1,1,0
8884,1,0,0
21365,1,1,1
19996,1,1,1
24213,0,1,0
16211,0,1,0
9264,1,0,1
18934,1,0,1
875,0,1,1
24342,0,1,1
2039,1,0,0
16374,0,1,1
5789,1,0,1
23558,1,1,1
26930,1,1,0
9051,1,1,0
25638,0,1,1
23019,1,1,1
22630,0,1,0
11329,0,1,1
21500,0,1,1
6163,1,1,1
11558,0,0,1
3490,0,1,0
20689,0,0,0
4069,0,1,1
951,1,0,1
14603,0,0,0
14220,1,1,1
26277,1,1,1
15057,1,0,1
22581,0,1,0
2,1,0,1
26177,0,1,0
9835,0,0,1
14276,0,0,0
10082,1,0,0
3354,0,1,1
18084,0,0,0
32,0,1,0
808,1,0,1
24576,1,0,0
3,0,1,0
3585,0,1,1
5607,0,0,0
9093,1,1,0
5150,0,1,0
24280,1,0,0
12034,0,0,1
3421,0,0,0
16049,1,0,1
15401,1,0,1
4,0,0,0
1116,0,0,0
5252,0,0,1
16304,1,0,1
10838,1,1,1
24023,1,0,1
5203,0,1,1
14995,1,1,1
23757,1,0,0
17462,0,0,1
6347,0,1,0
24122,0,0,0
5,1,1,0
2040,1,1,1
19454,1,1,1
13709,1,0,1
5786,0,1,1
2518,1,1,0
872,0,0,1
4081,0,0,1
24370,1,1,0
19435,1,1,0
1971,1,1,0
13491,1,0,0
22487,1,0,1
11385,0,1,1
19171,1,1,1
8775,1,0,0
14947,1,1,0
11958,0,1,0
14732,1,1,0
11780,0,1,1
28065,1,0,1
25982,0,1,0
23620,1,0,0
7224,0,0,0
27927,1,1,0
9798,1,1,0
23684,1,0,0
7029,1,1,1
8596,0,1,0
18753,1,1,1
14974,0,1,0
6,1,1,1
935,1,0,1
7,1,1,1
17761,0,0,0
5961,1,1,1
21431,1,0,0
13649,1,1,0
22775,0,1,0
24884,1,0,0
9443,1,1,1
8,1,0,1
10111,1,0,1
21633,1,1,0
21665,1,1,0
6268,1,0,1
15515,0,1,1
9,1,0,1
9375,0,1,1
2542,0,0,1
27562,0,1,1
10,1,0,1
6885,1,0,1
23165,1,0,1
19601,1,1,1
1676,1,0,1
18366,1,0,0
10619,0,0,1
3818,1,1,1
26716,1,1,1
16702,0,0,0
4711,0,1,1
11,1,1,0
25459,1,1,0
12,0,0,0
23475,0,0,0
18926,1,1,0
26124,0,1,1
8766,1,0,1
13,1,1,0
12855,0,1,0
19193,1,1,0
21577,0,1,1
22973,1,1,1
7626,0,0,1
1379,0,0,0
14835,0,0,0
1613,0,0,0
23372,0,0,0
25684,0,1,0
14832,0,1,0
14,0,0,0
25844,0,1,1
13556,0,1,0
5393,1,0,0
19287,1,0,0
1030,0,1,0
16486,1,1,1
15,0,1,1
1197,0,1,1
16,1,1,0
2156,0,0,0
2349,1,1,0
8113,1,1,1
10711,1,0,1
19507,1,0,0
8426,1,0,1
8149,1,1,1
871,1,1,1
9036,0,1,0
432,1,1,0
3343,0,1,0
17777,0,1,0
10051,0,1,1
11267,0,0,1
19949,1,0,0
1654,1,0,0
20013,1,1,1
450,1,0,1
27135,1,1,0
13333,1,0,1
27780,1,1,1
18,0,1,0
26476,1,1,0
19419,0,0,0
3197,0,0,1
4999,1,1,1
13222,0,0,1
18874,0,0,0
19,0,1,1
18591,0,1,1
20,0,1,0
14017,1,1,0
1489,1,1,1
2964,0,1,1
18732,1,1,1
12596,0,1,1
28169,0,0,1
11214,0,1,0
22656,0,1,0
11361,1,0,0
21,0,0,1
10379,1,0,1
25302,1,0,1
22,1,1,0
7659,0,1,1
25689,0,1,1
4877,1,1,0
2261,1,0,1
23,1,1,1
17730,0,1,1
18425,1,1,1
20108,0,1,1
15308,1,0,1
22104,0,0,1
28194,1,1,0
10070,1,1,0
3186,1,1,1
25545,0,0,0
7290,1,0,0
2602,0,0,1
3667,0,0,1
21079,1,1,0
1840,1,1,0
8818,1,1,0
2210,0,0,0
26961,0,1,1
21377,0,1,0
26061,1,1,0
24,0,0,0
21525,0,0,0
24135,0,0,1
8948,1,1,1
22558,1,0,1
23719,0,0,0
199,0,1,1
12266,0,0,0
1544,0,0,0
25,1,1,0
23717,0,1,0
10553,1,0,0
22541,1,0,1
26,0,0,0
24468,0,0,0
11409,1,1,0
20664,0,1,0
27,1,0,1
18884,0,1,0
6282,0,1,1
28,1,1,1
9706,0,1,0
840,0,1,1
1431,1,1,1
21771,0,1,1
10100,0,1,1
5070,0,1,1
29,0,0,0
1750,0,1,0
10740,1,0,1
1658,0,1,0
7930,1,1,1
13787,1,1,0
582,1,1,0
18761,0,0,1
30,1,1,0
19375,0,1,0
20172,1,1,1
18133,1,1,0
19467,1,0,1
4717,1,1,0
20523,0,1,0
31,0,0,0
18244,0,0,1
27099,1,1,1
23549,0,0,0
5536,1,0,0
2562,1,1,1
19445,0,1,1
27333,0,1,0
26861,1,1,0
24664,1,1,0
27496,0,1,1
6504,1,0,0
16287,0,0,0
26194,0,1,0
69,0,1,0
9035,0,0,0
8757,0,1,1
4399,0,1,0
10456,0,1,0
16734,1,0,1
24950,0,0,1
21483,0,1,0
14828,1,1,1
33,0,1,1
27821,0,1,0
5327,0,1,1
8096,0,1,0
19712,1,1,0
18679,1,1,1
21438,1,1,1
22416,0,0,0
5485,1,0,1
19411,1,1,0
19926,0,1,0
35,0,0,0
8781,0,0,1
16983,0,0,1
18626,0,0,1
9395,0,0,0
2015,0,0,0
36,1,0,1
22491,1,1,1
251,1,1,1
