,L,A,Y
0,1,1,1
14270,1,1,0
16976,0,0,0
12029,1,0,1
3001,0,1,1
14581,0,0,0
14145,1,0,1
25564,1,1,0
1,1,1,0
26065,1,1,1
2514,0,0,1
16675,0,0,0
19675,1,0,1
34,0,0,1
190,0,0,0
2211,0,1,1
2003,0,0,1
11290,1,1,1
5011,1,1,1
24836,0,1,0
18843,1,0,0
10646,1,0,1
22658,0,1,0
6133,1,1,1
21695,0,1,1
23366,0,0,1
20208,1,1,0
26238,1,1,1
16152,1,1,1
24911,0,1,1
10314,1,0,1
17,1,1,1
12734,0,1,0
13802,0,0,1
19211,0,1,1
3153,1,1,1
24435,1,1,1
1370,1,1,1
23544,0,0,0
25311,0,1,0
11706,0,1,1
28238,0,1,0
22673,0,1,1
3290,1,1,1
15292,0,0,0
7618,1,1,1
8071,1,1,1
15355,0,1,0
3364,1,1,1
22616,1,0,1
8884,0,1,1
21365,0,0,0
19996,0,0,0
24213,1,1,0
16211,1,1,1
9264,1,0,0
18934,0,1,1
875,0,0,0
24342,0,0,0
2039,0,0,1
16374,1,0,1
5789,1,1,1
23558,1,1,1
26930,1,0,1
9051,0,1,0
25638,1,1,1
23019,0,1,1
22630,0,1,1
11329,1,0,1
21500,0,0,1
6163,1,0,1
11558,1,1,1
3490,0,0,1
20689,0,0,0
4069,1,1,1
951,1,1,1
14603,0,0,1
14220,1,1,1
26277,0,0,0
15057,1,1,1
22581,0,0,0
2,0,1,0
26177,0,1,0
9835,1,1,0
14276,1,1,0
10082,0,0,1
3354,1,1,1
18084,1,0,0
32,0,1,1
808,1,1,0
24576,1,1,0
3,0,0,0
3585,0,1,1
5607,1,1,1
9093,0,1,0
5150,1,1,1
24280,1,1,1
12034,0,1,1
3421,1,1,0
16049,0,0,0
15401,0,0,1
4,1,1,1
1116,0,1,1
5252,0,1,0
16304,0,0,0
10838,0,1,1
24023,0,0,0
5203,0,1,1
14995,0,0,0
23757,0,1,1
17462,0,1,1
6347,1,1,1
24122,0,0,0
5,0,1,1
2040,0,0,0
19454,0,1,1
13709,1,1,1
5786,1,1,1
2518,0,1,0
872,0,0,0
4081,1,1,1
24370,1,1,1
19435,0,0,0
1971,1,1,1
13491,0,1,1
22487,0,1,1
11385,1,0,1
19171,0,1,0
8775,1,1,1
14947,0,1,1
11958,1,0,0
14732,1,1,0
11780,0,1,0
28065,1,1,1
25982,1,1,0
23620,1,1,1
7224,1,1,1
27927,0,1,1
9798,0,1,0
23684,0,1,1
7029,1,0,0
8596,0,1,1
18753,0,1,0
14974,0,0,0
6,0,1,0
935,1,1,1
7,0,0,1
17761,0,1,0
5961,0,1,1
21431,1,1,1
13649,1,0,0
22775,0,0,1
24884,0,0,0
9443,1,1,1
8,0,0,0
10111,1,0,1
21633,1,1,1
21665,0,1,1
6268,1,1,1
15515,1,1,1
9,1,0,0
9375,1,1,1
2542,0,1,1
27562,1,0,0
10,1,1,1
6885,1,1,1
23165,0,0,1
19601,0,1,1
1676,0,0,1
18366,0,1,0
10619,1,0,1
3818,0,0,0
26716,1,1,1
16702,0,0,0
4711,1,0,1
11,0,1,1
25459,1,0,1
12,1,1,1
23475,1,0,1
18926,0,0,1
26124,0,1,1
8766,0,0,1
13,0,0,1
12855,1,1,1
19193,1,0,1
21577,0,0,1
22973,0,1,1
7626,0,0,1
1379,0,1,1
14835,0,1,0
1613,1,1,0
23372,0,1,0
25684,1,1,1
14832,1,0,0
14,1,0,1
25844,0,1,1
13556,0,0,0
5393,0,0,0
19287,1,1,1
1030,1,1,1
16486,1,0,0
15,1,1,0
1197,1,0,0
16,1,1,1
2156,0,0,0
2349,0,1,0
8113,0,0,0
10711,0,0,1
19507,1,1,1
8426,0,0,0
8149,0,1,0
871,0,0,1
9036,1,0,0
432,0,1,1
3343,0,0,1
17777,1,1,1
10051,1,0,0
11267,0,1,1
19949,1,1,1
1654,1,0,1
20013,0,0,1
450,0,1,1
27135,1,1,1
13333,0,1,1
27780,0,1,1
18,1,1,0
26476,1,0,0
19419,0,1,0
3197,0,0,0
4999,0,1,1
13222,1,0,0
18874,0,1,0
19,1,1,0
18591,1,0,1
20,0,1,1
14017,1,1,1
1489,0,1,0
2964,0,0,1
18732,0,0,1
12596,1,1,1
28169,1,1,1
11214,0,1,1
22656,1,0,1
11361,0,0,1
21,1,1,1
10379,0,1,1
25302,0,0,0
22,0,0,0
7659,0,1,1
25689,1,1,1
4877,0,0,1
2261,0,1,1
23,1,1,1
17730,1,1,0
18425,0,0,0
20108,1,1,1
15308,0,1,1
22104,1,0,1
28194,1,0,0
10070,0,0,0
3186,1,1,0
25545,0,0,1
7290,1,1,0
2602,1,1,0
3667,0,0,1
21079,1,1,1
1840,0,0,0
8818,0,0,1
2210,1,1,1
26961,0,0,0
21377,0,1,1
26061,0,0,1
24,0,1,0
21525,1,1,0
24135,1,0,1
8948,0,1,1
22558,0,0,1
23719,0,1,1
199,1,0,1
12266,1,1,1
1544,0,1,1
25,1,0,1
23717,0,0,1
10553,1,1,1
22541,1,1,1
26,0,1,1
24468,0,0,0
11409,1,0,1
20664,0,0,0
27,1,0,1
18884,0,1,1
6282,0,0,0
28,1,1,0
9706,0,1,1
840,0,1,1
1431,0,1,1
21771,1,1,0
10100,1,1,1
5070,0,1,1
29,1,1,1
1750,1,0,1
10740,1,1,1
1658,0,1,1
7930,1,1,1
13787,0,1,1
582,0,0,0
18761,1,1,1
30,0,0,0
19375,0,1,1
20172,0,1,0
18133,1,1,0
19467,0,0,0
4717,0,1,1
20523,1,1,1
31,1,1,0
18244,1,1,1
27099,1,1,1
23549,1,1,1
5536,1,1,1
2562,1,1,1
19445,0,0,1
27333,1,0,1
26861,0,0,0
24664,0,0,1
27496,1,1,0
6504,1,1,1
16287,0,1,0
26194,0,0,0
69,0,1,1
9035,1,1,1
8757,1,1,1
4399,0,1,1
10456,1,0,1
16734,0,0,0
24950,0,1,1
21483,0,0,1
14828,1,1,0
33,1,1,1
27821,1,1,1
5327,0,1,0
8096,1,1,1
19712,1,1,1
18679,1,1,0
21438,0,1,0
22416,0,0,1
5485,0,1,1
19411,0,0,1
19926,1,0,1
35,0,1,0
8781,0,1,0
16983,1,0,1
18626,1,1,1
9395,0,1,0
2015,0,0,0
36,0,0,0
22491,1,0,0
251,1,1,1
17782,0,0,0
37,0,1,1
15866,1,1,1
2454,0,0,0
38,0,1,1
9228,1,0,1
6079,0,0,0
12436,0,1,1
39,0,1,0
14687,0,1,1
17527,1,1,0
22714,0,0,0
11436,0,1,0
40,0,0,0
406,0,0,0
2841,0,0,0
10535,0,0,1
9095,1,1,0
24415,1,1,1
341,1,0,0
20724,1,1,1
41,0,1,1
21886,1,0,0
42,1,1,1
8799,0,1,1
43,0,0,0
11538,1,1,1
9030,1,0,1
11484,0,0,1
19650,1,1,1
1321,1,1,1
27779,1,0,1
44,0,0,0
15561,0,0,1
45,1,1,1
18082,1,1,1
17599,0,1,1
6841,1,1,1
22164,0,0,1
20941,1,1,1
