,L,A,Y
0,0,1,0
747,0,1,0
1,1,1,1
4257,1,1,1
2194,1,1,1
580,0,1,0
6478,1,0,0
1222,0,0,0
5735,1,0,0
7146,0,0,1
2204,1,1,0
126,1,1,1
2639,0,0,0
2,0,0,0
562,1,1,0
1492,1,1,0
6,0,1,1
5303,1,0,1
7128,1,0,0
4154,0,0,0
5179,0,1,0
3,0,0,0
1728,0,1,1
4560,0,1,1
5060,1,1,1
1351,1,0,0
6503,1,1,1
7089,0,1,0
4319,0,1,1
6095,1,0,0
272,0,0,0
4433,1,0,0
2900,1,0,0
3381,0,1,1
5943,1,1,1
2107,0,1,1
6940,1,0,1
2013,1,0,1
6046,1,1,0
5823,1,1,1
4,0,1,1
5770,0,0,1
5,1,1,0
5454,0,1,1
5856,0,1,0
667,1,1,0
6180,0,0,0
598,0,1,0
870,0,0,1
3079,1,1,0
1834,0,1,0
6283,1,1,1
7340,0,1,0
7279,0,0,0
342,0,0,0
4405,1,1,1
1462,0,1,1
1284,0,1,0
1551,1,1,1
3291,1,1,1
167,1,0,0
7,0,0,0
177,0,1,1
6243,1,1,0
7589,0,1,0
2854,0,1,0
6931,0,1,1
6250,0,0,1
428,1,1,0
2142,0,0,1
8,1,0,0
1686,1,0,0
9,0,0,0
4481,0,0,0
1795,0,1,0
2660,1,1,0
6053,0,1,1
246,0,0,0
3843,1,0,0
6441,0,1,0
366,0,0,1
10,0,1,1
5489,0,1,0
11,0,0,0
5240,1,0,0
618,1,0,0
2412,1,0,1
1325,0,1,0
4919,0,0,0
12,0,0,1
5274,1,1,1
3807,0,1,1
13,1,0,1
1794,1,0,1
3971,0,1,1
1223,1,0,1
6152,1,1,1
5385,0,0,1
1509,0,0,0
524,0,0,1
4770,1,1,0
1937,1,1,0
7315,1,0,1
1817,1,0,0
6298,1,1,1
2266,1,0,1
3557,0,0,1
5857,1,1,0
866,1,1,1
2789,0,0,0
3559,0,1,0
4904,1,1,0
6565,1,1,1
5355,0,1,0
620,0,1,0
110,1,1,0
2835,0,1,0
3316,0,0,1
6712,0,0,1
1850,1,0,0
4860,0,0,0
4606,1,0,0
14,0,1,1
5862,0,0,0
2155,0,1,1
6438,1,1,1
3086,1,1,1
15,0,0,0
3530,1,0,1
7580,0,1,1
3029,0,0,1
4375,0,1,0
16,1,0,0
7296,1,1,0
2626,1,1,0
131,1,1,1
6323,1,0,0
1799,0,0,0
3103,1,1,1
5578,0,1,0
7435,1,0,1
1677,1,0,0
5072,1,0,1
4008,1,0,1
3410,1,0,1
6446,0,1,0
4184,1,0,1
5725,1,1,0
1349,0,1,0
5088,0,0,0
6544,0,0,0
2530,0,0,0
1956,1,0,0
38,1,1,1
550,0,1,1
6567,0,0,0
4968,1,1,1
1005,0,1,0
6126,0,1,1
1905,1,0,0
3699,0,0,1
773,1,1,0
1016,1,1,0
2751,0,1,0
3324,1,0,1
766,0,1,0
6101,1,1,0
17,0,0,0
6105,0,0,0
4242,1,0,1
7237,1,0,1
1334,0,1,1
951,1,1,1
1337,1,0,1
3165,0,0,1
18,0,0,1
6372,1,0,0
4042,0,0,1
3596,1,0,0
7185,1,1,1
5139,1,0,0
615,0,1,0
2788,0,0,1
3163,0,0,0
5534,0,1,1
6816,1,1,0
6436,1,0,1
421,0,1,0
4775,1,0,1
1384,0,1,0
3755,0,0,0
3820,1,0,1
4212,1,1,1
478,1,0,1
6136,1,0,1
6399,1,1,1
3581,1,1,1
7614,1,0,0
4085,0,0,0
19,0,0,0
2625,0,1,0
2692,0,0,0
1501,1,0,0
6703,0,1,1
20,1,0,0
2689,1,0,0
1316,1,1,0
5941,1,1,1
4151,0,0,0
4462,1,0,1
6463,1,0,0
21,0,0,0
3026,0,0,0
5764,0,1,0
22,0,1,1
5127,0,1,0
23,0,0,1
4248,1,1,1
7317,0,0,1
1854,0,1,0
646,1,0,1
3493,0,1,0
24,1,0,0
3643,0,0,1
25,1,1,0
3544,1,0,1
26,1,1,1
5345,1,1,1
27,0,0,0
4066,1,0,1
6339,1,0,0
1558,1,0,0
1896,1,1,0
4329,1,0,0
6396,0,0,0
3565,1,0,1
28,1,0,1
7224,0,1,0
1658,0,1,0
4900,0,1,0
29,1,0,0
4626,0,0,0
907,0,0,1
2838,0,0,0
7287,1,1,0
543,1,1,0
7579,1,0,1
6652,1,1,0
2711,0,1,1
30,0,1,1
7075,1,1,0
2644,0,1,0
3525,0,0,0
924,0,1,0
683,1,0,0
3499,0,0,1
5564,0,1,0
5854,1,0,0
31,1,1,1
1457,1,1,0
3418,1,1,1
32,1,0,1
3136,0,0,1
1312,1,1,1
2195,0,1,0
5676,0,0,0
4845,0,1,0
1166,1,0,0
3155,0,1,1
6196,0,1,0
6709,1,1,1
5206,1,0,1
4187,1,1,0
1020,1,1,0
607,1,0,0
33,0,0,1
2566,1,1,1
4040,0,1,0
2745,0,1,1
6859,1,1,0
4814,1,0,1
1875,1,0,0
1300,0,1,1
3221,1,0,1
407,0,0,1
3740,0,0,1
2170,0,1,1
7074,1,1,1
5095,1,0,0
5617,0,1,1
2420,0,1,0
1973,1,0,0
4308,0,0,1
3452,1,1,1
765,1,0,0
1150,0,0,0
213,0,1,1
34,1,0,1
2944,0,1,1
4408,0,0,1
5875,1,0,1
4717,0,0,0
3927,0,0,1
35,0,1,0
6747,0,1,1
7035,1,0,1
5283,0,1,1
4246,1,0,0
6887,1,1,1
2040,0,1,0
6475,0,0,1
4235,0,1,0
2301,1,0,1
2045,0,0,0
36,0,0,0
719,1,0,0
37,1,0,0
3991,0,0,1
6288,0,1,0
3794,0,0,1
7565,0,0,0
2637,0,1,0
3023,0,1,0
39,0,1,0
40,0,1,0
4908,1,1,0
1381,0,0,0
1678,1,0,0
41,1,0,1
1958,1,0,0
5414,1,0,1
3591,1,1,1
3562,0,0,1
3950,1,0,0
6287,1,1,0
42,0,1,0
3592,0,1,0
4335,1,0,0
2647,0,1,1
43,1,1,1
4681,1,1,0
2893,1,1,1
44,0,0,0
7042,1,0,0
3701,0,0,1
6870,0,1,1
7226,0,0,1
6507,1,1,1
6234,1,0,0
3597,0,1,0
45,0,0,1
3912,1,1,1
7537,1,1,1
3986,0,0,1
4852,0,0,0
3527,0,1,1
5896,0,0,1
5099,1,0,1
3340,1,0,1
865,1,1,0
4527,1,0,0
46,0,1,1
2442,1,1,0
2414,1,1,0
47,0,0,0
1792,1,0,0
7489,0,0,0
5378,0,0,0
6427,0,1,1
3845,0,0,0
6637,0,0,0
6408,0,0,1
2985,0,1,0
538,1,1,0
3181,0,1,1
5314,0,0,0
397,0,0,1
4657,0,1,1
4146,0,1,0
3128,0,1,0
3833,0,1,0
6458,1,0,1
6991,0,1,0
6876,1,0,0
1789,1,1,1
6207,0,1,0
48,0,0,1
1761,0,1,1
3250,1,0,0
7213,0,0,1
49,0,1,0
3360,0,0,0
4000,0,0,0
5510,1,1,0
3361,0,0,1
3400,1,1,0
2892,0,1,1
6605,0,0,0
2510,0,1,1
6096,1,1,1
2072,0,1,1
3038,0,1,1
50,0,0,0
4415,0,0,1
51,0,1,1
7135,1,1,1
52,0,1,0
6840,0,1,0
53,1,1,0
6572,1,0,0
1230,1,1,0
1390,0,1,0
54,0,0,0
2368,0,1,0
5195,0,1,0
645,1,0,1
3911,0,1,0
4973,0,0,0
3994,1,0,1
2843,0,0,1
4572,0,0,1
5600,0,0,0
187,0,0,0
3300,0,0,0
4141,1,1,0
4147,1,1,0
2422,0,0,0
2615,1,0,1
1464,0,1,1
1469,0,0,1
2303,0,0,0
55,0,1,0
5474,0,1,0
1932,1,0,1
494,0,1,1
56,1,0,0
4128,0,1,0
3008,1,0,0
2902,1,1,0
5226,1,1,1
7214,0,1,1
57,0,0,1
7349,1,0,1
58,1,1,0
2177,0,1,0
5108,0,1,0
3726,1,0,0
3302,1,0,1
2551,0,1,0
3080,1,0,0
7411,1,0,1
59,0,0,1
6004,1,0,1
6300,1,1,0
1564,1,1,1
1693,0,0,1
60,1,0,1
4344,1,0,1
6504,0,1,1
61,1,0,1
1680,1,0,0
2940,1,0,0
62,1,1,0
4792,1,1,0
63,1,0,1
4616,0,0,0
4284,1,1,1
6221,1,1,1
4166,1,1,1
64,0,0,0
5162,0,0,0
4355,1,1,0
65,0,0,0
2916,0,0,0
6407,0,0,0
66,1,0,0
5605,0,0,1
67,0,0,1
2416,0,0,1
7555,1,0,0
4638,0,0,1
4777,0,0,1
2604,0,1,1
2670,0,1,1
68,1,1,0
4032,0,0,0
2882,1,0,0
1219,1,1,0
168,1,1,1
6972,0,0,1
6718,1,1,0
3279,0,0,0
69,0,1,0
70,0,0,1
1328,0,1,1
2707,0,0,1
900,0,0,1
5048,0,0,1
7097,0,1,0
1135,1,0,0
4925,0,1,1
4702,0,0,0
3949,1,0,1
71,0,1,0
1611,0,1,0
6147,1,1,0
72,0,1,1
5966,0,1,0
73,0,0,0
3852,0,1,0
6424,0,0,0
5455,1,0,0
2676,0,1,0
6968,1,1,1
4091,1,1,0
5308,0,1,1
2205,1,0,1
4981,0,1,0
74,0,1,1
3035,1,0,1
75,1,0,0
5632,1,1,0
4673,1,1,1
933,0,1,1
7079,0,1,0
520,1,0,0
7165,0,1,0
6154,1,1,0
2447,0,1,1
4217,0,1,1
3855,0,1,0
2428,1,0,1
541,1,1,1
76,1,1,0
1830,0,1,1
77,1,1,0
6752,0,0,1
7536,0,1,0
78,1,0,1
3520,1,1,1
1216,1,1,0
3495,0,1,0
1642,1,1,0
4587,0,0,1
2060,1,0,1
3862,1,0,1
6519,1,1,1
4632,1,0,1
2332,0,1,1
6621,0,1,1
3679,0,0,0
79,1,1,0
718,1,1,0
80,1,0,1
5441,1,0,1
5646,0,1,0
666,1,0,1
6171,1,0,0
81,1,1,0
4353,0,0,0
3218,0,1,0
1555,0,0,0
1393,1,1,0
5033,1,0,0
378,0,0,0
130,0,0,1
2014,1,1,1
3498,0,1,0
82,1,1,1
2809,0,0,0
2086,0,1,0
3745,0,1,1
83,0,1,0
84,1,0,0
85,0,1,1
4658,1,0,1
4899,1,1,1
3444,0,0,0
5998,0,1,1
1689,0,1,1
5753,0,1,0
5643,0,1,1
7001,1,1,0
86,1,1,1
149,1,0,1
87,1,0,1
6115,0,0,1
88,0,0,1
955,0,0,1
89,0,1,0
6757,0,0,1
90,0,0,0
2498,0,1,0
91,1,0,1
1345,0,0,0
6932,1,1,0
313,0,0,0
92,1,0,1
2475,1,0,1
974,1,0,1
4479,0,1,0
93,1,1,0
662,0,0,0
94,1,1,1
5042,1,0,1
6564,0,0,0
95,0,0,0
3296,0,1,0
5610,1,1,0
7552,1,0,1
3430,1,0,0
5832,0,0,0
4330,0,1,1
2347,1,1,0
3757,0,1,1
2158,1,0,1
5224,1,0,0
3602,1,0,0
5876,0,0,1
7352,1,0,0
5277,0,1,0
4126,0,0,0
96,0,0,1
4811,1,1,1
97,1,1,1
4676,0,1,0
7350,1,0,0
3126,0,0,1
5892,0,0,1
652,1,1,0
98,0,0,0
4225,0,0,1
4163,0,1,1
4106,1,1,1
299,0,0,1
2077,1,1,0
5625,1,0,0
3900,1,0,0
3450,1,0,1
99,1,0,1
100,0,1,0
5361,0,1,0
101,1,0,0
3873,1,1,0
7010,0,0,1
4211,1,1,1
484,0,1,1
2967,1,1,0
2744,1,0,1
6921,0,1,0
2391,1,1,1
3698,1,0,0
102,1,0,1
2648,0,1,1
290,1,1,0
113,0,0,1
2452,1,0,1
3334,0,1,0
1495,1,1,1
5433,1,0,1
6639,1,1,1
103,0,1,1
1793,1,0,1
3715,0,1,0
211,0,1,1
4999,1,1,0
7507,0,1,0
1671,0,0,0
6860,0,0,0
4785,1,0,0
2787,1,1,1
6838,0,0,1
3773,1,1,1
6302,0,0,0
104,1,0,0
899,0,0,0
1046,1,0,0
5281,0,1,0
522,0,0,1
4236,0,1,1
1296,0,1,1
3536,1,0,1
5715,1,0,1
6228,1,1,0
3096,1,0,1
5918,0,0,0
1989,0,1,0
2145,1,1,0
4671,1,1,0
6884,1,1,1
4338,0,0,0
5587,1,0,0
3956,1,0,1
3486,1,1,0
771,1,1,1
2105,0,0,1
2768,0,0,0
1533,0,1,1
2943,1,1,1
105,1,1,1
5581,1,1,1
6022,0,1,0
106,0,1,0
7542,0,1,0
7045,0,1,1
