,L,A,Y
0,0,1,1
747,1,1,1
1,1,1,1
4257,1,1,1
2194,1,1,0
580,0,1,0
6478,1,1,1
1222,1,1,1
5735,1,1,0
7146,0,1,1
2204,0,0,0
126,1,1,0
2639,1,0,0
2,0,0,0
562,1,1,0
1492,0,0,1
6,1,0,1
5303,0,0,1
7128,0,0,0
4154,1,1,1
5179,0,1,0
3,0,0,1
1728,0,1,1
4560,1,1,1
5060,0,1,1
1351,0,1,1
6503,1,1,1
7089,1,1,1
4319,0,1,0
6095,0,0,0
272,1,1,1
4433,1,1,1
2900,0,1,0
3381,1,1,0
5943,0,1,0
2107,1,1,0
6940,0,1,0
2013,0,0,1
6046,1,0,0
5823,1,1,1
4,0,1,1
5770,1,0,0
5,1,0,1
5454,0,1,0
5856,0,1,1
667,1,1,1
6180,0,0,0
598,1,1,1
870,1,1,0
3079,0,1,1
1834,1,1,1
6283,1,0,1
7340,0,1,1
7279,0,0,0
342,0,1,1
4405,0,0,0
1462,0,1,0
1284,1,0,0
1551,0,0,1
3291,1,1,1
167,0,0,0
7,0,1,1
177,1,1,1
6243,1,1,0
7589,0,1,1
2854,0,0,1
6931,0,1,0
6250,1,1,0
428,0,1,1
2142,0,0,0
8,0,0,1
1686,1,0,1
9,0,1,0
4481,1,0,1
1795,1,1,1
2660,0,0,1
6053,0,1,0
246,0,0,1
3843,0,1,0
6441,1,1,1
366,1,1,1
10,1,1,0
5489,0,1,0
11,1,1,1
5240,0,1,1
618,0,1,0
2412,0,0,0
1325,0,0,0
4919,0,0,1
12,1,1,1
5274,0,0,0
3807,1,0,0
13,0,1,1
1794,0,1,1
3971,1,1,0
1223,0,1,1
6152,1,0,1
5385,1,1,0
1509,0,0,0
524,0,0,0
4770,1,1,1
1937,1,1,0
7315,0,0,0
1817,1,1,0
6298,0,0,1
2266,0,1,0
3557,0,0,0
5857,1,1,1
866,0,1,1
2789,1,1,1
3559,0,1,1
4904,1,1,1
6565,0,0,0
5355,1,0,0
620,0,1,0
110,0,0,0
2835,1,1,1
3316,0,1,1
6712,0,0,0
1850,0,0,0
4860,1,1,1
4606,1,0,0
14,0,0,1
5862,1,0,1
2155,1,0,1
6438,1,0,0
3086,1,0,0
15,1,1,1
3530,0,0,0
7580,0,1,1
3029,1,0,0
4375,1,0,0
16,1,1,1
7296,0,0,0
2626,1,1,1
131,0,0,0
6323,0,1,1
1799,1,0,1
3103,0,0,0
5578,1,1,1
7435,0,1,1
1677,0,0,0
5072,1,0,0
4008,0,0,1
3410,0,1,0
6446,0,0,0
4184,0,0,1
5725,0,0,1
1349,0,1,1
5088,0,0,1
6544,1,0,1
2530,0,0,0
1956,0,0,0
38,0,0,0
550,1,1,0
6567,0,1,1
4968,0,1,1
1005,0,0,0
6126,1,1,1
1905,1,0,1
3699,1,0,1
773,0,0,0
1016,1,1,1
2751,1,1,0
3324,1,1,0
766,1,1,1
6101,0,0,0
17,0,0,0
6105,0,0,0
4242,1,1,1
7237,0,0,1
1334,1,1,1
951,0,0,0
1337,1,1,0
3165,0,1,0
18,1,1,1
6372,1,0,0
4042,0,1,0
3596,1,1,1
7185,1,1,1
5139,0,0,1
615,0,1,0
2788,0,0,1
3163,0,0,1
5534,1,1,1
6816,1,1,1
6436,0,1,0
421,0,0,0
4775,0,0,1
1384,1,1,1
3755,0,0,0
3820,0,1,0
4212,0,1,1
478,0,0,0
6136,1,0,0
6399,1,0,0
3581,0,0,0
7614,0,1,0
4085,0,0,1
19,0,0,1
2625,0,0,0
2692,0,0,0
1501,0,1,1
6703,1,1,1
20,1,0,1
2689,1,1,1
1316,1,1,0
5941,1,1,1
4151,1,0,1
4462,0,0,0
6463,1,1,0
21,1,1,0
3026,0,1,0
5764,0,1,1
22,0,1,1
5127,1,1,0
23,0,0,1
4248,1,1,1
7317,1,0,0
1854,1,1,1
646,1,1,1
