,L,A,Y
0,0,1,0
1,0,1,0
2,1,0,0
3,0,1,0
4,1,0,1
5,0,0,1
6,0,1,1
7,0,0,0
8,1,0,0
9,1,0,1
10,1,0,0
11,1,1,1
12,1,0,0
13,1,0,1
14,0,0,1
15,0,1,0
16,1,1,0
17,1,1,1
18,0,1,0
19,0,0,1
20,1,1,0
21,1,0,1
22,1,1,1
23,0,1,0
24,0,0,0
25,1,0,0
26,0,0,0
27,1,1,0
28,1,1,0
29,0,1,0
30,1,1,0
31,0,0,1
32,1,1,0
33,0,1,0
34,0,1,0
35,1,0,1
36,1,0,0
37,0,1,1
38,0,0,0
39,1,1,0
40,1,1,1
41,0,1,0
42,0,1,0
43,0,1,0
44,0,1,1
45,0,0,0
46,0,1,1
47,1,1,1
48,0,0,0
49,0,1,1
50,0,0,0
51,1,1,0
52,1,1,1
53,1,1,1
54,0,1,0
55,1,1,0
56,0,1,0
57,0,1,0
58,1,1,0
59,1,0,1
60,0,0,0
61,0,1,0
62,1,1,0
63,1,0,1
64,0,0,1
65,0,1,1
66,0,0,0
67,1,0,0
68,1,1,0
69,0,0,0
70,1,0,1
71,1,0,0
72,1,0,0
73,0,0,1
74,1,1,1
75,1,1,0
76,0,1,0
77,1,0,0
78,1,1,0
79,0,0,1
80,0,1,1
81,0,0,1
82,0,1,0
83,0,1,1
84,1,1,0
85,1,1,1
86,1,0,1
87,0,0,0
88,1,0,0
89,0,0,0
90,1,1,0
91,0,1,0
92,0,1,1
93,0,1,1
94,0,0,0
95,1,0,0
96,0,1,1
97,0,1,0
98,0,0,0
99,1,1,1
100,0,0,1
101,1,1,0
102,0,1,1
103,0,1,0
104,1,0,1
105,1,0,1
106,0,1,0
107,0,0,0
108,1,0,0
109,1,1,0
110,1,0,0
111,0,1,1
112,1,1,0
113,0,1,0
114,0,0,0
115,1,0,1
116,1,1,0
117,0,0,0
118,0,1,1
119,1,0,0
120,0,1,0
121,1,0,0
122,1,0,0
123,0,0,0
124,1,0,1
125,1,1,1
126,0,1,0
127,0,0,0
128,1,1,1
129,0,1,1
130,0,1,1
131,0,0,0
132,0,0,0
133,1,0,1
134,0,1,1
135,1,0,1
136,1,1,0
137,1,0,0
138,1,1,0
139,0,0,0
140,0,1,1
141,0,0,0
142,0,1,0
143,0,1,1
144,0,0,0
145,0,1,0
146,1,0,0
147,0,0,1
148,0,0,0
149,1,0,0
150,1,1,0
151,0,0,1
152,0,1,0
153,0,1,0
154,1,1,1
155,1,0,1
156,0,0,1
157,1,0,1
158,0,0,0
159,1,1,0
160,0,0,1
161,0,1,1
162,0,0,0
163,1,1,1
164,1,1,0
165,1,0,1
166,1,0,0
167,0,1,0
168,0,0,0
169,1,1,0
170,0,0,0
171,0,1,0
172,0,0,0
173,0,0,0
174,1,1,1
175,1,1,0
176,1,0,0
177,0,1,0
178,1,1,0
179,1,0,0
180,0,1,0
181,0,0,0
182,1,1,0
183,1,0,0
184,1,1,0
185,0,1,0
186,1,0,0
187,0,0,1
188,0,1,0
189,1,0,1
190,1,1,0
191,0,0,1
192,0,0,0
193,1,1,0
194,0,1,1
195,1,0,0
196,1,1,0
197,1,1,0
198,1,0,0
199,0,0,1
200,0,1,1
201,0,0,1
202,0,0,0
203,0,0,1
204,0,1,0
205,0,1,0
206,1,0,1
207,0,0,1
208,1,0,0
209,0,1,0
210,0,1,0
211,1,1,0
212,0,1,0
213,1,1,1
214,0,0,1
215,0,0,1
216,0,1,1
217,1,1,0
218,0,1,0
219,1,0,1
220,1,1,0
221,1,1,1
222,0,1,1
223,0,1,1
224,0,0,0
225,1,1,1
226,1,0,0
227,0,1,0
228,1,1,1
229,1,0,0
230,0,1,0
231,1,0,1
232,1,1,1
233,1,1,0
234,0,1,0
235,1,1,0
236,1,0,0
237,0,1,0
238,1,0,0
239,1,1,0
240,1,0,1
241,0,0,1
242,1,1,1
243,1,0,0
244,1,1,0
245,1,0,0
246,1,0,1
247,1,1,0
248,1,0,0
249,0,0,0
250,0,0,0
251,1,0,1
252,0,1,1
253,0,0,0
254,0,0,0
255,1,1,0
256,0,0,0
257,0,1,0
258,1,1,1
259,1,0,1
260,0,0,1
261,0,1,0
262,0,0,0
263,1,1,0
264,0,1,1
265,1,1,1
266,1,0,0
267,0,1,1
268,1,0,0
269,0,1,0
270,1,1,0
271,1,0,0
272,0,1,1
273,1,1,0
274,0,0,1
275,0,1,0
276,0,1,0
277,1,0,0
278,1,0,0
279,1,1,1
280,0,0,0
281,0,1,1
282,0,0,0
283,1,1,1
284,1,1,0
285,0,1,0
286,1,1,0
287,1,0,0
288,0,1,0
289,0,1,1
290,1,1,0
291,1,0,0
292,1,1,1
293,0,0,0
294,1,1,0
295,0,0,1
296,0,1,0
297,1,0,1
298,1,1,0
299,0,0,0
300,1,0,1
301,1,0,1
302,0,0,1
303,0,1,0
304,1,0,0
305,1,1,0
306,0,0,0
307,1,0,0
308,1,0,0
309,1,1,0
310,0,0,0
311,0,0,1
312,1,0,0
313,1,1,0
314,1,0,0
315,0,0,1
316,0,1,0
317,1,1,0
318,0,0,0
319,0,0,1
320,0,0,0
321,1,0,0
322,0,1,0
323,0,0,0
324,0,1,1
325,1,0,0
326,1,0,1
327,0,1,1
328,0,0,0
329,0,1,0
330,1,0,0
331,0,0,1
332,1,1,1
333,0,0,0
334,1,1,0
335,0,0,1
336,1,1,0
337,1,0,1
338,0,0,0
339,1,0,0
340,0,0,0
341,0,0,1
342,0,1,0
343,1,0,1
344,1,0,0
345,1,1,1
346,0,1,1
347,0,1,0
348,0,0,1
