,L,A,Y
0,1,1,0
1,0,1,1
2,1,0,0
3,0,1,1
4,1,1,0
5,1,1,1
6,0,0,0
7,0,1,0
8,0,1,0
9,1,1,0
10,0,0,1
11,0,1,1
12,0,0,0
13,1,1,1
14,1,0,0
15,0,0,1
16,0,0,0
17,0,1,0
18,1,0,1
19,0,0,0
20,1,0,0
21,1,1,1
22,1,0,0
23,1,1,1
24,0,0,1
25,0,0,1
26,0,1,1
27,1,1,1
28,1,0,1
29,1,1,0
30,0,1,0
31,0,1,1
32,1,1,0
33,1,1,0
34,0,0,1
35,0,0,1
36,1,0,0
37,0,1,1
38,0,0,1
39,1,0,0
40,1,0,1
41,1,1,0
42,1,1,1
43,1,0,1
44,1,1,0
45,0,1,0
46,0,0,1
47,1,1,0
48,0,0,0
49,1,1,0
50,1,0,0
51,0,0,1
52,0,0,0
53,1,0,0
54,0,1,1
55,0,0,1
56,0,1,1
57,0,0,0
58,0,1,0
59,0,1,1
60,0,0,1
61,0,0,1
62,0,1,0
63,0,0,0
64,0,1,1
65,0,1,1
66,0,1,0
67,0,0,1
68,0,0,1
69,1,0,1
70,0,1,1
71,1,1,1
72,0,1,1
73,0,1,0
74,0,1,0
75,1,0,1
76,1,0,1
77,0,1,0
78,0,1,0
79,1,1,1
80,1,0,1
81,1,1,1
82,1,1,1
83,0,1,1
84,0,0,0
85,1,0,1
86,1,1,0
87,1,0,1
88,0,1,0
89,1,1,1
90,1,1,0
91,0,1,0
92,0,1,1
93,1,1,1
94,0,1,1
95,0,0,0
96,0,0,0
97,0,0,0
98,0,1,1
99,0,1,0
100,0,0,1
101,0,1,1
102,1,0,1
103,0,0,0
104,1,0,0
105,0,0,1
106,0,1,1
107,1,1,0
108,0,0,0
109,0,1,1
110,0,1,1
111,1,0,0
112,1,0,0
113,0,0,0
114,0,1,1
115,0,1,0
116,1,0,1
117,0,1,0
118,0,0,1
119,1,1,1
120,1,1,1
121,0,1,1
122,1,0,0
123,1,1,1
124,1,0,1
125,1,1,0
126,0,1,1
127,0,1,0
128,0,1,1
129,0,0,1
130,0,0,1
131,0,0,0
132,0,1,0
133,1,1,0
134,0,0,1
135,0,1,0
136,0,0,0
137,1,0,1
138,0,1,1
139,0,0,1
140,1,1,1
141,0,1,0
142,0,0,0
143,1,1,1
144,0,1,1
145,0,0,1
146,1,1,0
147,1,1,1
148,1,1,0
149,0,1,0
150,0,1,0
151,0,1,1
152,1,1,1
153,1,1,0
154,0,0,1
155,1,1,0
156,0,1,1
157,0,0,0
158,1,1,0
159,0,0,0
160,1,0,1
161,0,0,1
162,0,0,1
163,1,0,0
164,0,0,0
165,1,1,0
166,0,1,1
167,1,0,0
168,1,1,0
169,1,0,1
170,0,0,1
171,1,1,0
172,1,1,1
173,0,1,1
174,1,0,0
175,0,1,1
176,1,0,0
177,1,0,0
178,0,0,1
179,0,0,1
180,1,1,1
181,0,0,0
182,0,0,1
183,1,0,0
184,1,1,1
185,1,1,1
186,1,0,0
187,0,0,0
188,0,1,1
189,0,1,0
190,1,1,0
191,1,0,1
192,0,1,0
193,0,1,0
194,1,1,1
195,0,1,1
196,0,1,1
197,0,0,0
198,0,0,0
199,1,1,0
200,0,1,1
201,0,0,1
202,0,0,0
203,1,1,0
204,0,0,1
205,0,1,0
206,0,1,1
207,0,1,0
208,1,0,1
209,1,0,1
210,0,1,0
211,1,0,1
212,1,1,0
213,0,0,1
214,1,0,0
215,0,1,0
216,0,1,0
217,1,0,0
218,1,1,1
219,0,1,0
220,0,0,0
221,0,1,1
222,0,1,0
223,1,1,1
224,1,1,0
225,0,0,1
226,0,1,0
227,0,1,0
228,0,0,1
229,1,1,1
230,0,1,0
231,1,0,1
232,0,1,0
233,0,1,1
234,0,0,1
235,0,0,1
236,1,0,0
237,1,1,0
238,1,1,1
239,1,1,1
240,1,0,0
241,0,0,1
242,0,0,1
243,1,0,0
244,1,0,1
245,0,0,1
246,0,0,1
247,1,0,0
248,0,1,1
249,1,1,0
250,1,0,1
251,0,1,1
252,1,0,0
253,0,0,0
254,1,1,0
255,1,1,0
256,1,1,0
257,1,1,0
258,1,1,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,1,0
263,0,1,0
264,0,1,0
265,1,1,0
266,1,1,1
267,0,0,0
268,0,0,0
269,0,0,1
270,1,0,1
271,1,1,0
272,0,1,1
273,1,0,1
274,0,1,1
275,1,1,1
276,0,1,0
277,0,0,0
278,1,0,1
279,0,1,1
280,1,0,1
281,1,1,1
282,0,0,1
283,0,1,1
284,0,0,0
285,1,1,0
286,0,1,0
287,0,0,1
288,1,1,0
289,1,1,1
290,1,0,0
291,1,1,1
292,0,1,0
293,1,1,1
294,1,1,0
295,0,1,1
296,1,0,0
297,1,1,1
298,0,1,1
299,0,0,0
300,0,0,0
301,1,1,1
302,0,0,1
303,0,1,0
304,1,0,0
305,1,1,0
306,1,0,0
307,0,0,0
308,1,1,1
309,0,1,1
310,0,1,1
311,0,0,0
312,0,0,1
313,0,1,0
314,0,0,0
315,1,0,0
316,0,0,1
317,0,0,0
318,1,0,0
319,1,1,1
320,0,0,1
321,0,0,1
322,0,1,1
323,0,0,1
324,1,0,1
325,1,0,0
326,1,0,0
327,0,0,0
328,1,0,0
329,0,1,0
330,0,1,1
331,0,0,0
332,1,0,0
333,0,0,1
334,0,1,0
335,1,1,1
336,1,0,1
337,1,1,0
338,1,0,1
339,0,1,0
340,0,1,1
341,0,1,0
342,0,1,1
343,1,0,0
344,1,1,0
345,1,0,0
346,1,0,0
347,1,1,0
348,0,1,0
349,0,0,0
350,0,0,1
351,1,0,1
352,0,1,0
353,0,1,0
354,0,0,1
355,0,1,1
356,0,0,0
357,0,1,1
358,0,0,1
359,0,1,0
360,1,1,1
361,0,1,1
362,1,1,0
363,0,0,1
364,1,0,0
365,1,0,0
366,1,0,0
367,1,1,0
368,0,1,1
369,0,1,0
370,0,0,0
371,1,0,0
372,0,1,0
373,1,0,1
374,0,1,1
375,0,0,0
376,0,1,0
377,0,1,1
378,1,1,1
379,0,1,0
380,0,0,1
381,1,1,1
382,0,1,0
383,1,1,1
384,1,0,0
385,1,1,1
386,1,0,1
387,0,0,1
388,0,1,1
389,0,0,1
390,1,1,1
391,0,1,1
392,0,1,0
393,0,1,1
394,1,1,1
