,L,A,Y
0,0,1,1
1,0,0,0
2,0,1,0
3,0,0,1
4,1,0,0
5,1,1,0
6,0,0,0
7,0,0,1
8,1,1,1
9,0,0,0
10,0,1,0
11,0,1,1
12,1,0,0
13,0,0,1
14,1,1,1
15,1,1,1
16,1,0,0
17,0,0,0
18,0,1,0
19,1,1,0
20,1,1,1
21,1,1,0
22,1,0,1
23,0,0,0
24,1,0,1
25,1,1,1
26,1,1,0
27,1,0,1
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,1
32,0,1,0
33,0,1,0
34,0,1,0
35,1,1,1
36,0,1,0
37,0,1,0
38,1,1,0
39,0,0,0
40,1,1,0
41,1,1,0
42,1,1,0
43,0,1,0
44,0,1,1
45,1,0,1
46,1,0,0
47,1,1,1
48,0,1,1
49,0,0,1
50,1,1,0
51,0,0,1
52,0,0,0
53,1,0,1
54,0,0,1
55,1,1,0
56,0,0,1
57,0,1,1
58,0,0,0
59,1,0,1
60,0,0,0
61,0,0,1
62,1,1,0
63,1,1,0
64,1,1,0
65,1,1,1
66,1,1,1
67,0,0,0
68,0,1,1
69,0,1,0
70,1,0,0
71,0,0,0
72,1,1,0
73,0,1,1
74,0,0,0
75,1,0,0
76,0,0,1
77,1,0,0
78,0,1,0
79,1,0,1
80,1,1,1
81,0,1,1
82,0,0,1
83,1,1,0
84,0,1,0
85,0,0,0
86,0,0,0
87,0,0,1
88,0,1,1
89,0,1,0
90,0,1,1
91,1,1,1
92,0,0,0
93,1,0,0
94,1,0,1
95,0,0,1
96,1,0,0
97,0,0,1
98,0,0,0
99,0,1,1
100,1,1,0
101,1,1,1
102,1,1,0
103,0,1,1
104,0,0,1
105,0,0,0
106,0,0,1
107,0,0,0
108,0,0,0
109,1,1,0
110,0,0,0
111,0,1,1
112,0,0,0
113,1,0,1
114,0,0,0
115,0,1,0
116,0,0,1
117,1,0,0
118,0,0,1
119,1,1,1
120,0,0,0
121,1,1,0
122,1,0,0
123,0,1,0
124,1,1,0
125,1,0,0
126,1,0,0
127,0,1,0
128,1,0,0
129,1,0,0
130,1,0,0
131,0,0,1
132,1,0,0
133,1,0,1
134,1,0,0
135,1,0,1
136,1,0,0
137,0,0,0
138,0,0,0
139,0,1,1
140,1,0,0
141,0,0,0
142,1,1,0
143,1,0,0
144,1,1,0
145,1,1,1
146,1,0,0
147,1,1,0
148,1,1,0
149,0,1,0
150,1,0,0
151,0,0,1
152,1,0,0
153,1,0,0
