n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
0.089896,0.075118,0.073046,0.06736333333333333,0.071169,0.0609872,0.0711244
0.042564,0.056934,0.079252,0.07955,0.0723225,0.0691632,0.0711244
0.040112,0.087964,0.057855,0.05938266666666667,0.0708555,0.0693256,0.0711244
0.061896,0.064286,0.058088,0.072574,0.058452,0.0690268,0.0711244
0.026072,0.06834,0.079652,0.06270333333333333,0.065056,0.0806732,0.0711244
0.076072,0.08557,0.071129,0.07587933333333333,0.0755375,0.0652128,0.0711244
0.065688,0.079854,0.065499,0.051505333333333334,0.0637695,0.075042,0.0711244
0.06676,0.069068,0.068568,0.06981533333333333,0.068663,0.0678656,0.0711244
0.065736,0.08073,0.082137,0.068848,0.067222,0.076626,0.0711244
0.061912,0.065868,0.06513,0.06388866666666666,0.0591895,0.0627192,0.0711244
0.079448,0.062964,0.066101,0.07688933333333334,0.0708455,0.0731404,0.0711244
0.041964,0.046774,0.070629,0.06533066666666666,0.0694485,0.0661428,0.0711244
0.036808,0.06754,0.08571,0.073794,0.0620765,0.0712464,0.0711244
0.05808,0.079804,0.066748,0.07124133333333334,0.0692305,0.0685136,0.0711244
0.060656,0.088872,0.074062,0.07249533333333333,0.0663765,0.0727296,0.0711244
0.075828,0.067226,0.082019,0.07462666666666666,0.068255,0.0672776,0.0711244
0.088316,0.051778,0.066937,0.06272866666666667,0.077098,0.0672304,0.0711244
0.068552,0.070266,0.067403,0.06675866666666666,0.070599,0.0723268,0.0711244
0.08158,0.07962,0.063978,0.05842666666666667,0.0695995,0.0638744,0.0711244
0.087916,0.078246,0.071872,0.07095266666666666,0.0774105,0.0651556,0.0711244
0.071756,0.081234,0.075664,0.07725466666666667,0.0635835,0.0726552,0.0711244
0.045948,0.067374,0.083058,0.07180666666666667,0.0773295,0.0749556,0.0711244
0.064208,0.075138,0.08137,0.08569533333333333,0.078493,0.0789464,0.0711244
0.028632,0.03427,0.059094,0.07299666666666667,0.0709505,0.0543656,0.0711244
0.056684,0.071394,0.063448,0.07464333333333334,0.0658055,0.0615832,0.0711244
0.074496,0.06582,0.067358,0.071808,0.08126,0.0682544,0.0711244
0.082796,0.077736,0.083784,0.07549133333333333,0.060725,0.0782948,0.0711244
0.084236,0.060836,0.071596,0.06975266666666667,0.0789585,0.0799416,0.0711244
0.062844,0.06753,0.069255,0.07064933333333333,0.069955,0.0681984,0.0711244
0.0739,0.031274,0.068083,0.075104,0.0707815,0.0668536,0.0711244
0.08202,0.06902,0.079772,0.07094,0.0740745,0.0711896,0.0711244
0.06644,0.073702,0.056409,0.08484066666666666,0.0738225,0.0814352,0.0711244
0.07086,0.06708,0.047324,0.07337066666666667,0.0680245,0.0739964,0.0711244
0.07558,0.082992,0.075571,0.076906,0.071685,0.06482,0.0711244
0.05184,0.084528,0.063767,0.07082533333333334,0.06833,0.0669356,0.0711244
0.055116,0.063464,0.070849,0.057732,0.07704,0.0782036,0.0711244
0.078772,0.065866,0.069552,0.07906266666666667,0.0788055,0.0746792,0.0711244
0.05076,0.07857,0.049944,0.070946,0.0767505,0.0710872,0.0711244
0.089992,0.057128,0.065083,0.07581333333333333,0.0828555,0.0636164,0.0711244
0.045056,0.070396,0.073081,0.07221933333333333,0.0716375,0.0756304,0.0711244
0.088256,0.102058,0.089088,0.06387466666666666,0.065405,0.0678884,0.0711244
0.08396,0.06668,0.057841,0.06553266666666667,0.0798185,0.0697916,0.0711244
