true_model,data_source,network_size,effective_sample_size,test_bootstrap_iters,ML_model_name,tuning_param_grid,L_lower,L_upper,L_result,Y_lower,Y_upper,Y_result
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.03147732282934972,-0.009986987364579718,B,-0.0031910227047757234,0.011039644057961031,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0009822771600503807,0.00784497392693706,U,-0.005816741426336496,0.0034312933882280293,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.011544103095911033,-0.007106095259120991,B,-0.004448041082191679,0.0033533448105175848,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",0.0011287554798498438,0.009568296499003238,U,-0.008772923521624915,0.004497023643658807,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.011588249735534656,-0.0047179914934092956,B,-0.006909396761936107,0.0030978231980330726,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.00912764025491648,-0.00465560605725511,B,-0.012390972009630038,0.01637744025397804,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.009966879457398157,-0.0053947434232962665,B,-0.016356449611638124,-0.0014769824814895342,B
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",0.0004544271377081258,0.008314450986775579,U,-0.0125599664940273,0.0015879216090211503,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0021947163687820806,0.001980630627288976,U,0.008648977257415964,0.02698336133751299,U
BBB,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.016079152364561547,-0.007050273212574753,B,-0.003218944469572075,0.006496668096201703,U
