true_model,data_source,network_size,effective_sample_size,test_bootstrap_iters,ML_model_name,tuning_param_grid,L_lower,L_upper,L_result,Y_lower,Y_upper,Y_result
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0009928062758072786,0.001952845310278088,U,-0.006315094246337576,0.006691653933427607,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0020693163146557067,0.0018609669891177323,U,-4.586657747959253e-05,0.0076724293787206865,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.00029089948752495097,0.0007380177180978807,U,-0.0008611885005727529,0.004601211152712429,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0013520601124978923,0.0035012282109169795,U,-0.006926630707813606,0.00843347221344443,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-4.9868594937185065e-05,0.0007274760294662764,U,-0.010963197552977201,0.0029563822228832644,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.002899337466065613,0.00507323169291375,U,-0.008025552426620583,0.010743938775714867,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0033693721049515746,0.0010694302825401205,U,-0.010969743167596708,0.0034691903642277908,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-9.694440772802095e-05,0.002811030416657447,U,-0.0016104054342819501,0.0040858739459125985,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0006726790853488485,0.0010033501428182684,U,-0.007015303382466045,0.001542678759330837,U
UBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.00025508215641779214,0.0,U,-0.0017581301234988673,0.008600000254438672,U
