true_model,data_source,network_size,effective_sample_size,test_bootstrap_iters,ML_model_name,tuning_param_grid,L_lower,L_upper,L_result,Y_lower,Y_upper,Y_result
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.007153195729298515,-0.00039816282100289054,B,-0.001750369180025229,0.003636147753494442,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.008358628007129642,-0.005078593186710524,B,-0.004754391899650228,0.0022725696141162603,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.004235848387852754,0.0066959285194800435,U,-0.0029136163272941635,0.006611621266111073,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.02381803067834377,-0.006446308178483638,B,-0.005504479872973817,0.003029167825054855,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.004519637923125142,6.837953155567871e-05,U,-0.001460177341000908,0.004703124553590458,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.008582575391949192,-0.002106675984693772,B,-0.0022992802256248564,0.007175403157638459,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.007928662008504825,-0.00209188015294578,B,-0.0057021885279530575,0.008246613516380162,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.005348643608130039,-0.0019836198528329664,B,-0.004833761484676367,0.003753259748973368,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.004461668614410891,-0.00015570196736380872,B,-0.0039582601888085754,0.014183359672650959,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.010166439301547408,-0.005244266814887725,B,-0.0029480355070673207,0.005100165010882097,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.012162709815941593,-0.003914521320204724,B,-0.002064302266377358,0.007942743017851129,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.002074750705301824,0.004211753921284205,U,-0.005919175312886306,0.0031169301835495275,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.007207716944628818,0.0014345400784263383,U,-0.0016528230525987195,0.004401511965827971,U
BBU,../data/binary_sample/,200000,1000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.01093487669083187,-0.006013450743648331,B,-0.0009912990689137382,0.00891937425890586,U
